KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Gravity (EU),P. Esc Vel (EU),P. Period (days),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
5.02,7.0518564,0.66,0.075,1124,0.89,-99,-0.88,-0.67,3.82,-0.89,2.15,0.4,-99,,,,,,,,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.65,0.65,7.05,1.093,2.674,-2.29,-0.41,-1.35,0.27,0.8,0.01,0.28,0,0,0,0,tran,2011
41.02,6.8870994,1.23,0.073,1071,1.73,0.17,0.73,0.69,0.75,-0.14,1.65,0.9,-99,,,,,,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.19,1.22,6.89,0.96,2.345,-2.28,-0.19,-1.01,0.29,0.89,0.01,0.29,0,0,0,0,tran,2011
41.03,35.3331429,1.4,0.218,620,2.41,-99,-1,-0.58,0.59,-0.72,1.89,0.6,-99,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.29,1.34,35.33,0.96,2.345,-2.07,-0.08,-0.69,0.31,0.83,0.06,0.32,0,0,0,0,tran,2011
46.02,6.0290779,0.96,0.067,1032,2.6,-99,-0.19,0.94,0.63,-14.95,7.92,1.9,-99,,,,,,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.96,0.96,6.03,0.826,2.029,-2.26,-0.33,-1.15,0.28,0.98,0.01,0.3,0,0,0,0,tran,2011
70.05,19.5778928,1.02,0.137,629,0,-99,1.95,-0.2,0.68,0.7,0.28,2.2,-99,,,,,,,,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.01,1.01,19.58,0.634,1.58,-2.05,-0.31,-0.95,0.3,1,0.05,0.33,0,0,0,1,tran,2011
82.03,27.4537815,1.03,0.165,457,2.1,-99,-0.07,-0.36,0.68,-0.18,0.29,0.7,-99,,,,,,,,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.07,1.08,27.45,0.412,1.055,-1.77,-0.28,-0.76,0.34,0.96,0.18,0.42,0,0,0,0,tran,2011
82.04,7.0713053,0.7,0.067,718,2.22,-99,0.45,-0.56,0.35,-0.15,0.38,1.6,-99,,,,,,,,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.68,0.69,7.07,0.412,1.055,-2.08,-0.41,-1.23,0.29,0.82,0.03,0.3,0,0,0,0,tran,2011
82.05,5.2870294,0.52,0.055,792,1.79,-99,0.57,0.18,0.61,-0.45,0.71,0.7,-99,,,,,,,,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.53,0.53,5.29,0.412,1.055,-2.11,-0.44,-1.36,0.28,0.7,0.02,0.28,0,0,0,0,tran,2011
94.04,3.7432452,1.41,0.05,1364,2.68,-99,0.13,-0.55,0.61,1.01,0.82,1.5,-99,,,,,,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.82,2.12,3.74,1.286,3.103,-2.36,4.11,-0.67,0.17,0.31,0,0.14,0,0,0,0,tran,2011
108.02,179.6010436,4.45,0.654,359,3.36,-99,-0.1,0.07,0.08,0.3,0.42,0.7,-99,,,,,,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.86,1.96,179.6,0.963,2.345,-1.45,3.21,0.27,0.22,0.37,0.41,0.39,0,0,0,0,tran,2011
111.03,51.756266,2.36,0.253,483,2.33,0,-1.65,-0.04,0.08,-0.17,0.18,1,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.84,51.76,0.684,1.684,-1.86,0.75,-0.11,0.33,0.6,0.14,0.33,0,0,0,0,tran,2011
115.03,3.4358442,0.63,0.046,1473,0.79,-99,0.39,0.62,0.24,-1.42,0.87,1.9,-99,,,,,,,,Hot,Subterran,rocky-iron,metals-rich,non-habitable,0.63,0.63,3.44,1.212,2.902,-2.38,-0.42,-1.41,0.26,0.78,0,0.28,0,0,0,0,tran,2011
116.03,6.1648897,0.87,0.066,1025,1.03,1.06,1.34,-1.09,0.94,-0.22,0.46,1.2,-99,,,,,,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.81,0.81,6.17,0.801,1.96,-2.27,-0.38,-1.24,0.28,0.9,0.01,0.29,0,0,0,0,tran,2011
119.02,190.3134142,3.3,0.618,289,0.53,0.67,-0.44,0.45,0.25,-0.21,0.27,2,-99,,,,,,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.76,190.31,0.674,1.666,-1.11,2.23,0.22,0.29,0.45,0.65,0.54,0,0,0,0,tran,2011
159.02,2.4036536,1.3,0.035,1478,0.27,0.38,0.7,0.48,0.47,0.54,0.51,1.5,-99,,,,,,,,Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,1.25,1.29,2.4,0.974,2.361,-2.35,-0.13,-1.09,0.28,0.86,0,0.29,0,0,0,0,tran,2011
171.02,13.0716172,2.07,0.114,871,4.11,1.06,1.18,-0.35,0.35,-0.18,0.45,1,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.75,13.07,1.061,2.53,-2.29,0.52,-0.6,0.29,0.64,0.01,0.26,0,0,0,0,tran,2011
216.02,7.5186581,1.49,0.072,806,3.59,0.27,0.83,0.26,0.58,0.53,1.12,0.6,-99,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.23,1.27,7.52,0.488,1.232,-2.13,-0.15,-0.85,0.3,0.87,0.02,0.3,0,0,0,0,tran,2011
232.03,21.5872318,1.69,0.152,628,2.93,1.27,-1.19,0.48,0.35,-0.43,0.5,1.6,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.61,21.59,0.801,1.941,-2.13,0.25,-0.53,0.31,0.71,0.04,0.29,0,0,0,0,tran,2011
232.04,37.9969319,1.79,0.221,521,2.23,1.21,0.16,0.14,0.15,-0.1,0.31,0.8,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.62,37.99,0.801,1.941,-2.01,0.28,-0.4,0.33,0.7,0.08,0.32,0,0,0,0,tran,2011
232.05,56.255403,1.69,0.287,457,4.09,0.47,0.67,0.5,0.24,0.01,0.58,2.1,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.59,56.26,0.801,1.941,-1.89,0.23,-0.34,0.34,0.72,0.14,0.36,0,0,0,0,tran,2011
238.02,26.6937608,1.35,0.177,635,2.3,-99,-0.36,0.45,2.23,0.24,2.8,0.2,-99,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.29,1.35,26.69,0.911,2.191,-2.14,-0.08,-0.72,0.31,0.83,0.04,0.31,0,0,0,0,tran,2011
245.02,21.3018475,0.75,0.137,538,0.42,-99,0.56,-99,-99,-99,-99,-99,-99,,,,,,,,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.75,0.75,21.3,0.467,1.172,-1.93,-0.4,-1.11,0.31,0.86,0.1,0.35,0,0,0,1,tran,2011
245.03,13.367265,0.34,0.1,629,1.93,-99,-0.18,-99,-99,-99,-99,-99,-99,,,,,,,,Hot,Mercurian,iron,no-atmosphere,non-habitable,0.6,0.45,13.37,0.467,1.172,-2.04,-1.03,-1.38,0.27,0.51,0.05,0.24,0,0,0,1,tran,2011
245.04,51.1987998,0.43,0.246,401,2.61,-99,0.5,-99,-99,-99,-99,-99,-99,,,,,,,,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.47,0.45,51.2,0.467,1.172,-1.63,-0.59,-1.29,0.32,0.6,0.28,0.42,0,0,0,0,tran,2011
248.04,18.5962176,1.99,0.113,379,0.88,1.09,0.06,-0.16,0.82,-0.43,1.5,0.3,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.68,18.6,0.208,0.552,-1.55,0.38,-0.08,0.38,0.67,0.32,0.46,0,0,0,0,tran,2011
250.04,46.8278667,2.97,0.218,322,1.43,0.21,-0.11,-0.09,0.3,-0.23,0.22,1.1,-99,,,,,,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.07,1.79,46.83,0.274,0.715,-1.25,1.65,0.19,0.32,0.5,0.56,0.53,0,0,0,0,tran,2011
251.02,5.7744691,0.84,0.052,541,0.64,0,-1.8,5.51,2.19,-5.83,3.13,2.9,-99,,,,,,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.82,0.82,5.77,0.197,0.525,-1.89,-0.38,-1.06,0.31,0.9,0.08,0.35,0,0,0,0,tran,2011
262.02,9.3761366,2.79,0.093,1200,1.07,0.45,-2.32,-99,-99,-99,-99,-99,18.7,,,,,,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,0.89,1.58,9.38,1.533,3.721,-2.32,1.73,-0.85,0.25,0.53,0,0.22,0,0,0,1,tran,2011
274.02,22.7951882,1.13,0.167,820,2.81,-99,0.5,-1.24,1.12,-0.62,0.75,1.3,-99,,,,,,,,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.11,1.12,22.8,1.276,3.092,-2.22,-0.25,-0.97,0.29,0.94,0.02,0.3,0,0,0,0,tran,2011
275.02,82.1996737,2.04,0.392,476,1.41,1.55,2.11,-0.03,0.36,-0.55,0.4,1.4,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.71,82.2,1.026,2.517,-1.85,0.45,-0.21,0.34,0.66,0.15,0.35,0,0,0,0,tran,2011
304.02,5.5183535,1.11,0.064,1365,0.95,-99,0.82,-0.72,1.37,0.18,2.43,0.5,-99,,,,,,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.14,1.15,5.52,1.55,3.745,-2.35,-0.23,-1.15,0.28,0.93,0,0.29,0,0,0,0,tran,2011
307.02,5.2110576,1.15,0.061,1143,1.96,0,-0.32,-0.5,0.21,0.98,0.62,2,-99,,,,,,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.13,1.14,5.21,0.907,2.194,-2.32,-0.24,-1.08,0.28,0.93,0,0.29,0,0,0,0,tran,2011
312.02,16.3992207,1.84,0.134,817,2.13,1.07,-0.55,-0.09,0.52,0.01,0.4,0.2,23.1,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.62,16.4,1.016,2.455,-2.23,0.27,-0.63,0.3,0.7,0.02,0.28,0,0,0,0,tran,2011
314.03,10.3120171,0.68,0.076,453,3.04,0.97,-0.2,-0.18,1.09,-0.63,1.43,0.5,-99,,,,,,,,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.79,0.79,10.31,0.224,0.599,-1.79,-0.38,-1.04,0.32,0.88,0.13,0.38,0,0,0,0,tran,2011
316.02,157.0603653,2.94,0.586,351,1.75,1.65,45.73,0.06,0.74,0.27,2.53,0.1,-99,,,,,,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.21,1.84,157.07,0.844,2.086,-1.41,1.33,0.17,0.34,0.53,0.43,0.48,0,0,0,0,tran,2011
338.02,3.1075281,17.51,0.042,3866,0.16,0.37,-1.79,4.37,2.81,2.31,1.67,1.9,-99,,,,,,,,Hot,Jovian,gas,metals-rich,non-habitable,0.64,3.35,3.11,7.725,20.501,-2.2,13.89,-0.69,0.07,0.11,0,0.05,0,0,0,0,tran,2011
343.03,41.8092522,1.58,0.235,559,0.99,0.98,-0.91,-1.09,0.77,0.75,0.53,1.9,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.36,1.47,41.81,0.847,2.082,-1.99,0.05,-0.53,0.33,0.78,0.08,0.33,0,0,0,0,tran,2011
369.02,10.1046481,1.08,0.093,870,0.03,0.36,-0.53,0.19,0.51,0.3,0.33,0.9,15.4,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.21,1.23,10.1,0.996,2.387,-2.29,-0.18,-0.96,0.29,0.88,0.01,0.3,0,0,0,0,tran,2011
370.02,22.9503589,2.65,0.172,902,2.41,0.04,-0.15,0.32,0.65,-0.4,0.65,0.8,-99,,,,,,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.35,1.89,22.95,1.598,3.883,-2.25,1.07,-0.51,0.28,0.55,0.01,0.23,0,0,0,0,tran,2011
379.02,23.1357124,1.83,0.164,830,0.12,1.32,0.29,-0.65,0.63,0.6,0.41,1.7,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.71,23.14,1.557,3.706,-2.29,0.43,-0.63,0.29,0.66,0.01,0.26,0,0,0,0,tran,2011
392.02,12.6110209,1.33,0.106,841,2.48,0.6,-1.55,1.39,0.33,-1.54,0.81,3.3,-99,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.25,1.29,12.61,0.925,2.26,-2.23,-0.13,-0.89,0.29,0.86,0.01,0.3,0,0,0,0,tran,2011
413.02,24.6742387,2.1,0.156,517,1.3,0,0.27,-0.05,0.27,0.36,0.29,1.3,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.78,24.67,0.546,1.362,-1.95,0.6,-0.25,0.33,0.62,0.09,0.31,0,0,0,0,tran,2011
427.02,42.950179,2.65,0.225,458,2.49,1.85,0.22,-99,-99,-99,-99,-99,-99,,,,,,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.3,1.88,42.95,0.577,1.438,-1.81,1.16,-0.05,0.32,0.54,0.16,0.33,0,0,0,0,tran,2011
435.02,-526,7.67,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,Warm,Jovian,gas,hydrogen-rich,non-habitable,0.74,2.55,815,0.743,1.808,0.85,6.85,1.82,0.12,0.2,0.5,0.34,0,0,0,0,tran,2011
438.02,52.661868,2.1,0.23,298,0.56,0,-0.11,0.05,0.14,0.38,0.4,1,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.81,52.66,0.293,0.762,-1.24,0.68,0.23,0.41,0.61,0.58,0.59,0,0,0,0,tran,2011
457.02,7.0642708,2.03,0.066,704,1.53,0.66,-0.4,0.01,0.18,-0.24,0.24,1,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.7,7.06,0.408,1.037,-2.09,0.41,-0.51,0.31,0.67,0.03,0.28,0,0,0,0,tran,2011
471.02,7.811011,1.04,0.076,818,1.05,0.23,0.71,1.53,0.88,0.21,3.51,1.5,-99,,,,,,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.04,1.04,7.81,0.63,1.549,-2.2,-0.3,-1.04,0.29,0.98,0.02,0.3,0,0,0,0,tran,2011
474.03,94.8829133,3.24,0.422,424,1.92,1.55,0.06,0.13,0.3,-0.23,0.24,1,-99,,,,,,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,0.99,1.75,94.88,0.978,2.344,-1.81,1.85,-0.13,0.28,0.49,0.19,0.32,0,0,0,0,tran,2011
490.02,-341,9.98,-99,-99,-99,-99,-99,-0.03,0.01,-0.02,0.01,5.1,-99,,,,,,,,Warm,Jovian,gas,hydrogen-rich,non-habitable,0.73,2.62,341,0.392,1.003,0.51,7.34,1.89,0.12,0.19,0.52,0.34,0,0,0,0,tran,2011
490.04,21.8042832,1.4,0.14,486,1.03,-99,-0.85,1.85,1.59,4.46,5.5,0.9,-99,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.24,1.28,21.8,0.392,1.003,-1.84,-0.14,-0.61,0.34,0.86,0.14,0.38,0,0,0,0,tran,2011
505.02,6.1956563,1.62,0.063,835,2.18,-99,0.01,-0.37,0.25,0.07,0.35,1.5,-99,,,,,,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.75,6.2,1.101,2.795,-2.22,2.17,-0.76,0.24,0.46,0,0.2,0,0,0,0,tran,2011
510.03,14.627111,2.38,0.112,699,0.82,0.05,1.17,-0.15,0.22,0.03,0.41,0.7,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.82,14.63,0.676,1.677,-2.13,0.69,-0.42,0.31,0.61,0.03,0.26,0,0,0,0,tran,2011
511.02,4.2637557,1.26,0.047,1099,0.55,0.08,2.52,0.23,0.37,0.17,0.23,0.9,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.36,1.47,4.26,0.896,2.169,-2.33,0.05,-0.92,0.29,0.78,0,0.28,0,0,0,0,tran,2011
519.02,34.0354356,2.53,0.208,543,0.89,0.1,-0.56,-0.21,0.14,0.08,0.15,1.6,15.1,,,,,,,,Hot,Neptunian,rocky-water,metals-rich,non-habitable,1.41,1.91,34.04,0.768,1.867,-2.02,0.98,-0.18,0.31,0.56,0.08,0.28,0,0,0,0,tran,2011
542.02,13.8175243,1.42,0.106,734,1.04,0.03,-0.47,0.1,0.76,0.53,1.74,0.3,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.34,1.43,13.82,0.769,1.892,-2.17,0.01,-0.74,0.3,0.79,0.02,0.29,0,0,0,0,tran,2011
546.02,9.8259841,2.3,0.094,884,3.65,0.84,-0.55,-0.02,0.26,-0.67,0.43,1.6,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.78,9.83,0.855,2.064,-2.26,0.6,-0.58,0.29,0.62,0.01,0.25,0,0,0,0,tran,2011
569.02,1.6329159,1.29,0.025,1246,0.63,0.43,0.03,-0.2,0.25,0.29,0.35,1.1,-99,,,,,,,,Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,1.22,1.25,1.63,0.481,1.214,-2.24,-0.16,-1.05,0.29,0.88,0,0.29,0,0,0,0,tran,2011
571.04,22.407512,1.53,0.127,346,1.01,1.11,-0.27,0,0.56,0.11,0.33,0.3,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.35,1.44,22.41,0.203,0.542,-1.45,0.02,-0.26,0.4,0.79,0.4,0.55,0,0,0,0,tran,2011
572.02,4.938917,1.24,0.054,1101,2.19,1.1,-0.51,0.24,0.46,-0.11,0.65,0.6,-99,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.27,1.31,4.94,0.915,2.228,-2.31,-0.11,-0.99,0.28,0.85,0,0.29,0,0,0,0,tran,2011
574.02,10.4000632,1.14,0.086,635,0.19,0.96,0.63,0.3,0.68,0.58,1.53,0.5,-99,,,,,,,,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.14,1.16,10.4,0.451,1.136,-2.06,-0.23,-0.86,0.31,0.92,0.04,0.32,0,0,0,0,tran,2011
579.02,3.7630081,1.75,0.045,920,2.82,1.24,-0.34,0.01,0.1,0.72,0.56,1.3,13,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.4,1.54,3.76,0.459,1.159,-2.19,0.15,-0.76,0.3,0.74,0.01,0.28,0,0,0,0,tran,2011
582.02,17.7389431,2.12,0.126,554,1.47,0.51,2.11,0.02,0.4,-0.34,0.25,1.4,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.71,17.74,0.46,1.157,-1.96,0.43,-0.33,0.33,0.66,0.08,0.31,0,0,0,0,tran,2011
593.02,90.4114399,3.79,0.397,387,0.46,0.71,-17,0.88,0.41,-1.98,0.74,3.1,15.8,,,,,,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.76,90.41,0.731,1.781,-1.63,2.23,-0.03,0.27,0.45,0.28,0.36,0,0,0,0,tran,2011
601.02,11.6789301,23.11,0.102,777,0.08,1.26,0,-0.1,0.13,0.08,0.12,1.1,-99,,,,,,,,Hot,Jovian,gas,metals-rich,non-habitable,0.74,2.58,11.68,0.814,1.969,-2.23,7.01,0,0.12,0.2,0.02,0.1,0,0,0,0,tran,2011
620.02,130.183098,9.68,0.505,344,2.93,0.43,-0.72,-0.05,0.08,0.17,0.13,1.4,96.2,,,,,,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,0.72,2.69,130.18,0.758,1.842,-1.46,7.82,1.01,0.11,0.18,0.4,0.28,0,0,0,0,tran,2011
620.03,85.3128663,5.71,0.381,396,1.82,0.3,2.01,0.56,1.09,3.51,2.66,1.4,-99,,,,,,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.81,2.16,85.31,0.758,1.842,-1.69,4.31,0.32,0.18,0.3,0.25,0.27,0,0,0,1,tran,2011
624.02,49.5672355,2.4,0.258,438,2.05,0,0.76,-0.25,0.37,-0.03,0.54,0.7,-99,,,,,,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.37,1.9,49.57,0.628,1.545,-1.8,1.03,-0.01,0.32,0.55,0.18,0.34,0,0,0,0,tran,2011
655.02,151.8859792,2.54,0.588,393,1.13,0.96,0.93,-1.17,0.95,-0.96,0.35,2,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.41,1.9,151.89,1.034,2.5,-1.61,0.93,0.12,0.35,0.56,0.3,0.42,0,0,0,0,tran,2011
658.03,11.3298387,1.14,0.098,750,2.43,0.61,-0.69,0.97,1.21,-0.22,0.95,0.8,-99,,,,,,,,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.15,1.17,11.33,0.714,1.741,-2.2,-0.22,-0.93,0.29,0.92,0.02,0.31,0,0,0,0,tran,2011
661.02,25.6594963,1.35,0.168,623,1.82,1.17,1.68,-0.59,0.54,-0.59,0.64,1.4,-99,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.32,1.39,25.66,0.883,2.139,-2.13,-0.03,-0.69,0.31,0.81,0.04,0.31,0,0,0,0,tran,2011
664.02,7.7821972,1.19,0.075,997,0.23,0.12,-0.36,0.14,1.45,0.66,1.21,0.6,-99,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.23,1.26,7.78,1.014,2.468,-2.29,-0.16,-0.99,0.29,0.87,0.01,0.29,0,0,0,0,tran,2011
664.03,23.4419444,1.19,0.157,689,0.43,1.42,0,-0.01,1.69,-2.74,1.31,2.1,-99,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.23,1.27,23.44,1.014,2.468,-2.17,-0.15,-0.83,0.3,0.87,0.03,0.31,0,0,0,0,tran,2011
671.03,16.2596246,1.61,0.127,721,1.72,1.82,-1.14,-0.17,1.29,1.55,1.02,1.5,-99,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.31,1.38,16.26,0.744,1.823,-2.15,-0.05,-0.74,0.31,0.82,0.03,0.3,0,0,0,0,tran,2011
678.02,4.1385529,3.27,0.05,1277,2.16,0,3.03,-0.38,0.13,-0.19,0.36,2.2,21.4,,,,,,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.9,1.78,4.14,1.079,2.724,-2.25,2.35,-0.8,0.23,0.44,0,0.19,0,0,0,0,tran,2011
679.02,16.2583133,0.94,0.132,774,1.55,-99,-0.98,1.34,1.07,-0.56,0.86,1.4,-99,,,,,,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.94,0.94,16.26,0.907,2.213,-2.19,-0.34,-1.07,0.29,0.97,0.02,0.31,0,0,0,0,tran,2011
692.02,4.8229342,2.02,0.055,965,0.39,0.04,-2.32,-0.17,0.21,0.15,0.36,0.8,11.3,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.74,4.82,0.658,1.615,-2.26,0.5,-0.68,0.29,0.65,0.01,0.25,0,0,0,0,tran,2011
700.03,14.6673128,1.29,0.108,691,0.27,0.38,0.74,-0.09,0.46,0.58,0.98,0.6,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.36,1.46,14.67,0.839,2.046,-2.2,0.04,-0.73,0.3,0.78,0.02,0.29,0,0,0,0,tran,2011
707.05,5.6679183,1.83,0.068,1347,1.41,-99,-0.92,0.79,0.54,-0.71,0.24,2.5,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.59,5.67,1.419,3.465,-2.32,0.23,-0.89,0.29,0.72,0,0.27,0,0,0,1,tran,2011
720.02,10.0415552,2.53,0.082,672,2.24,0.48,1.21,-0.08,0.16,-0.05,0.1,0.7,-99,,,,,,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.2,1.84,10.04,0.526,1.318,-2.11,1.35,-0.41,0.28,0.52,0.03,0.24,0,0,0,0,tran,2011
720.03,18.3700813,2.74,0.122,551,1.17,0.78,0.01,0.08,0.19,0.06,0.15,0.5,-99,,,,,,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.02,1.76,18.37,0.526,1.318,-2.01,1.77,-0.33,0.27,0.49,0.07,0.25,0,0,0,0,tran,2011
720.04,2.795902,1.41,0.035,1028,0.1,-99,-1.66,0.23,0.09,0.14,0.29,1.6,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.36,1.45,2.8,0.526,1.318,-2.24,0.04,-0.89,0.29,0.78,0.01,0.28,0,0,0,0,tran,2011
733.04,18.643846,2.28,0.124,508,3.91,0.48,-0.63,1.04,1.27,-0.69,0.6,1.1,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.41,1.9,18.64,0.449,1.133,-1.94,0.93,-0.16,0.32,0.56,0.09,0.29,0,0,0,0,tran,2011
749.03,8.1093838,1.33,0.075,754,0.5,0.37,-1.8,-0.22,0.42,0.65,0.48,1.4,-99,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.3,1.36,8.11,0.568,1.408,-2.17,-0.07,-0.8,0.3,0.83,0.02,0.3,0,0,0,0,tran,2011
775.03,36.4459073,1.86,0.176,310,0.29,0.49,-1.47,-0.21,0.24,0.28,0.33,1.2,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.68,36.45,0.233,0.614,-1.28,0.37,0.07,0.43,0.68,0.54,0.6,0,0,0,0,tran,2011
784.02,10.0651861,1.96,0.076,488,3.47,1.1,1.47,-0.07,0.23,-0.14,0.26,0.6,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.68,10.07,0.235,0.621,-1.83,0.38,-0.28,0.35,0.67,0.12,0.34,0,0,0,0,tran,2011
812.04,7.8249635,1.29,0.065,529,0.7,0.32,0.06,0.68,2.21,-0.04,0.75,0.3,-99,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.22,1.25,7.82,0.236,0.624,-1.89,-0.16,-0.7,0.33,0.88,0.09,0.35,0,0,0,0,tran,2011
817.02,8.2956096,1.99,0.066,490,1.71,0.07,0.89,0.35,0.77,0.65,1.43,0.6,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.68,8.3,0.206,0.548,-1.82,0.37,-0.28,0.35,0.68,0.12,0.34,0,0,0,0,tran,2011
825.02,4.7149737,1.59,0.049,779,1.39,0.65,0.22,0.43,0.48,-0.8,0.55,1.7,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.36,1.47,4.71,0.37,0.949,-2.11,0.05,-0.72,0.31,0.78,0.02,0.29,0,0,0,0,tran,2011
835.02,56.2279402,2.27,0.26,339,1.08,0.06,-1.06,-0.23,1.19,-0.12,0.3,0.2,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.81,56.23,0.377,0.962,-1.39,0.67,0.15,0.39,0.61,0.45,0.52,0,0,0,0,tran,2011
