KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Gravity (EU),P. Esc Vel (EU),P. Period (days),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
2105.01,6.4219285,1.29,0.068,992,0.31,0.18,0.18,0.03,0.46,-0.53,0.25,2.1,12.5,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.27,1.31,6.42,0.867,2.091,-2.3,-0.11,-0.94,0.29,0.85,0.01,0.29,0,0,0,0,tran,2012
2106.01,9.7538016,2.15,0.088,767,1.79,0,5.48,-0.71,1.01,0.18,1.66,0.7,12.4,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.78,9.75,0.644,1.581,-2.19,0.6,-0.51,0.3,0.62,0.02,0.26,0,0,0,0,tran,2012
2107.01,81.316975,2.01,0.349,348,0.45,0,-1.41,-0.19,0.59,0.26,1.14,0.3,12.4,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.78,81.32,0.572,1.417,-1.51,0.6,0.06,0.38,0.62,0.36,0.48,0,0,0,0,tran,2012
2108.01,51.3292337,3.24,0.27,513,0.17,2.27,0.14,-0.36,0.55,0.35,1.01,0.6,12.4,,,,,,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.76,51.33,0.932,2.259,-1.99,2.23,-0.28,0.25,0.45,0.09,0.25,0,0,0,0,tran,2012
2109.01,19.7924349,1.87,0.146,692,0.21,0.63,0.08,0.02,0.38,-0.06,0.75,0.1,12.4,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.71,19.79,0.923,2.218,-2.19,0.43,-0.52,0.3,0.66,0.03,0.27,0,0,0,0,tran,2012
2110.01,5.037282,1.13,0.061,1244,1.04,0.1,-0.42,-1,0.41,-0.97,0.52,3,12.3,,,,,,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.12,1.13,5.04,1.163,2.777,-2.37,-0.25,-1.12,0.28,0.93,0,0.29,0,0,0,0,tran,2012
2111.01,3.2896837,1.66,0.043,1210,1.36,0.12,-1.22,-0.21,0.19,0.24,0.2,1.6,12.3,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.41,1.56,3.29,0.835,2.028,-2.33,0.18,-0.89,0.29,0.73,0,0.27,0,0,0,0,tran,2012
2111.02,7.1864762,2.43,0.072,935,0.61,0,-1.29,0.46,0.27,-0.01,0.29,1.7,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.88,7.19,0.835,2.028,-2.28,0.88,-0.58,0.28,0.57,0.01,0.24,0,0,0,0,tran,2012
2113.01,15.942743,2.63,0.117,594,2.42,0.14,-0.22,-0.43,0.25,-0.75,0.58,1.7,12.3,,,,,,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.21,1.84,15.94,0.512,1.293,-2,1.33,-0.27,0.29,0.53,0.06,0.26,0,0,0,0,tran,2012
2113.02,12.3310833,2.27,0.099,646,0.84,0.82,-0.93,0.49,0.49,-0.36,0.3,1.4,8.3,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.84,12.33,0.512,1.293,-2.05,0.77,-0.33,0.31,0.59,0.05,0.27,0,0,0,0,tran,2012
2114.01,4.4215386,1.27,0.043,625,2.42,0.25,1.63,-0.14,0.21,-0.58,0.35,1.7,12.3,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.25,1.29,4.42,0.234,0.618,-1.99,-0.13,-0.76,0.32,0.86,0.04,0.32,0,0,0,0,tran,2012
2115.01,15.7258286,3.12,0.115,628,0.21,0.01,-0.84,-99,-99,-99,-99,-99,12.2,,,,,,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.89,1.84,15.73,0.606,1.53,-2.05,2.61,-0.33,0.23,0.42,0.05,0.21,0,0,0,0,tran,2012
2116.01,1.2527398,1.25,0.023,1627,0.54,0.11,0.05,0.24,0.23,0.18,0.3,1.2,9,,,,,,,,Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,1.32,1.4,1.25,0.886,2.133,-2.38,-0.02,-1.09,0.28,0.81,0,0.28,0,0,0,0,tran,2012
2117.01,13.3601104,1.86,0.097,473,1.91,0.09,0.54,-0.09,0.22,0.12,0.27,0.6,12.2,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.41,1.58,13.36,0.265,0.693,-1.8,0.21,-0.34,0.35,0.72,0.15,0.36,0,0,0,0,tran,2012
2119.01,0.5710391,1.47,0.013,1798,0.52,0.02,-0.83,0.06,0.12,0.08,0.26,0.5,-99,,,,,,,,Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,1.24,1.27,0.57,0.456,1.156,-2.27,-0.14,-1.15,0.28,0.87,0,0.29,0,0,0,0,tran,2012
2120.01,8.7740565,1.31,0.079,733,3.61,-99,1.51,0.42,0.47,0.21,0.44,1,12.2,,,,,,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.21,1.84,8.77,1.108,2.814,-2.2,1.33,-0.64,0.27,0.53,0.01,0.22,0,0,0,0,tran,2012
2121.01,4.5101418,1.3,0.051,909,0.93,0.66,-0.44,-0.3,0.44,0.22,0.9,0.6,12.1,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.28,1.33,4.51,0.567,1.406,-2.23,-0.09,-0.9,0.29,0.84,0.01,0.29,0,0,0,0,tran,2012
2122.01,37.6461704,1.54,0.21,482,0.6,0,0.88,-0.17,0.31,-1,1.1,0.9,12.1,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.39,1.52,37.65,0.661,1.622,-1.92,0.12,-0.43,0.34,0.75,0.11,0.35,0,0,0,0,tran,2012
2123.01,29.4556026,2.18,0.186,557,1.77,0.8,-0.66,-0.34,0.66,0.25,1.23,0.5,12.1,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.82,29.46,0.769,1.869,-2.06,0.69,-0.29,0.31,0.61,0.06,0.28,0,0,0,0,tran,2012
2124.01,42.3371118,1.02,0.197,300,0.08,0.11,0.24,0.56,0.92,-0.09,1.68,0.6,12.1,,,,,,,,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.05,1.05,42.34,0.238,0.626,-1.2,-0.29,-0.58,0.42,0.98,0.61,0.73,0,0,0,0,tran,2012
2125.01,23.3598596,2.29,0.162,638,0.35,1.15,-1.11,-0.41,0.36,0.34,0.3,1.6,12.1,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.88,23.36,0.896,2.156,-2.16,0.88,-0.34,0.3,0.57,0.04,0.25,0,0,0,0,tran,2012
2126.01,9.6932265,1.89,0.075,561,0.03,0.93,-0.67,0.81,0.73,0.02,1.56,1.1,12.1,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.85,9.69,0.367,0.95,-1.98,0.79,-0.28,0.32,0.59,0.06,0.27,0,0,0,0,tran,2012
2128.01,24.2599599,19.93,0.156,517,0.1,0.6,-0.75,-99,-99,-99,-99,-99,12,,,,,,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,0.62,3.53,24.26,0.493,1.238,-1.89,15.98,1.29,0.06,0.1,0.12,0.11,0,0,0,0,tran,2012
2129.01,8.7963087,1.68,0.084,825,2.09,0.71,0.52,0.18,0.12,-0.08,0.37,1.1,12,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.41,1.58,8.8,0.786,1.906,-2.25,0.21,-0.71,0.3,0.72,0.01,0.27,0,0,0,0,tran,2012
2130.01,16.8548102,1.66,0.106,398,0.29,0.88,0.63,-99,-99,-99,-99,-99,12,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.39,1.52,16.85,0.219,0.581,-1.63,0.12,-0.28,0.38,0.75,0.26,0.45,0,0,0,0,tran,2012
2131.01,14.362739,2.53,0.124,885,4.63,0.54,-0.77,-0.34,0.37,0.33,0.51,1.1,12,,,,,,,,Hot,Neptunian,rocky-water,metals-rich,non-habitable,1.41,1.91,14.36,1.154,2.739,-2.3,0.98,-0.5,0.28,0.56,0.01,0.23,0,0,0,0,tran,2012
2132.01,69.8940573,1.78,0.296,360,0.31,0.14,0.96,1.38,0.41,1.87,1,2.8,12,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.74,69.89,0.593,1.47,-1.62,0.5,-0.04,0.37,0.65,0.29,0.44,0,0,0,0,tran,2012
2133.01,6.2465798,18.24,0.087,2149,2.96,0.33,1.83,0.01,0.12,0.05,0.1,0.5,12,,,,,,,,Hot,Jovian,gas,metals-rich,non-habitable,0.66,3.14,6.25,4.147,10.641,-2.25,11.76,-0.41,0.08,0.13,0,0.06,0,0,0,0,tran,2012
2134.01,42.3001988,2.31,0.231,503,0.01,0,0.61,-0.53,0.33,-0.25,0.27,1.9,11.9,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.82,42.3,0.715,1.76,-1.93,0.69,-0.19,0.33,0.61,0.11,0.31,0,0,0,0,tran,2012
2135.01,55.1877128,2.27,0.29,531,1.94,1.52,0.43,0.18,0.8,-0.29,0.8,0.4,11.9,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.41,1.9,55.19,1.081,2.596,-2.04,0.93,-0.19,0.31,0.56,0.08,0.28,0,0,0,0,tran,2012
2137.01,14.9744097,1.79,0.113,677,1.93,0.29,-0.29,-0.02,0.34,0.56,0.21,2.7,11.9,,,,,,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.2,1.84,14.97,1.021,2.543,-2.19,1.35,-0.53,0.28,0.52,0.01,0.23,0,0,0,0,tran,2012
2138.01,23.5553853,2.34,0.21,1324,0.13,1.2,2.07,0.71,0.49,0.61,0.39,2.1,11.9,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.85,23.56,4.318,10.085,-2.42,0.79,-0.76,0.27,0.59,0,0.24,0,0,0,0,tran,2012
2140.01,41.6981013,2.46,0.229,461,0.85,0.26,0.13,-0.28,0.16,-0.03,0.37,1.7,11.8,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.41,1.89,41.7,0.625,1.54,-1.86,0.91,-0.06,0.33,0.57,0.14,0.32,0,0,0,0,tran,2012
2143.01,4.7902783,1.11,0.053,913,2.18,0.8,-0.58,-0.05,0.35,0.32,0.97,0.3,11.7,,,,,,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.12,1.13,4.79,0.566,1.404,-2.22,-0.25,-1.02,0.29,0.93,0.01,0.3,0,0,0,0,tran,2012
2144.01,38.6695178,2.58,0.212,481,1.12,0.56,-0.74,-0.19,0.58,-0.37,0.95,0.5,11.7,,,,,,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.86,1.93,38.67,1.028,2.567,-2.05,3.08,-0.25,0.21,0.38,0.05,0.2,0,0,0,0,tran,2012
2145.01,8.3264927,1.67,0.08,896,1.02,0.08,0.27,-0.41,0.5,0.14,0.98,0.8,11.7,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.39,1.54,8.33,0.81,1.967,-2.26,0.14,-0.76,0.3,0.74,0.01,0.28,0,0,0,0,tran,2012
2146.01,2.9490167,1.62,0.037,973,1.37,-99,-0.54,-0.16,0.25,0.18,0.24,1,11.7,,,,,,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.33,1.41,2.95,0.401,1.024,-2.17,-0.01,-0.85,0.3,0.8,0.01,0.29,0,0,0,0,tran,2012
2147.01,37.8662724,1.64,0.202,449,0.93,1.44,0.72,0.05,0.4,-0.54,1.09,0.5,11.7,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.41,1.57,37.87,0.687,1.681,-1.94,0.19,-0.4,0.33,0.73,0.11,0.34,0,0,0,0,tran,2012
2148.01,11.9322332,2.78,0.109,1049,2.47,1.25,0.34,0.11,0.25,0.25,0.41,0.7,11.7,,,,,,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.38,1.9,11.93,1.358,3.36,-2.25,1.02,-0.6,0.28,0.55,0.01,0.23,0,0,0,0,tran,2012
2148.02,7.5423619,2.51,0.081,1217,4.43,0,0.34,-0.58,1.05,-0.21,1.19,0.6,-99,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.84,7.54,1.358,3.36,-2.28,0.75,-0.72,0.29,0.6,0,0.24,0,0,0,0,tran,2012
2148.03,3.6146087,1.72,0.049,1564,1.89,-99,-1.81,1.29,0.59,1.74,0.42,4.5,-99,,,,,,,,Hot,Superterran,rocky-water,no-atmosphere,non-habitable,1.37,1.49,3.61,1.358,3.36,-2.31,0.08,-1.01,0.28,0.77,0,0.27,0,0,0,0,tran,2012
2149.01,13.1512682,1.6,0.116,964,1.81,0.39,0.58,-0.89,0.33,-0.76,0.75,2.2,11.7,,,,,,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.34,1.43,13.15,1.255,3.013,-2.3,0.01,-0.84,0.29,0.79,0.01,0.28,0,0,0,0,tran,2012
2150.01,18.5059479,2.51,0.136,640,4.92,0.04,0.21,0.19,0.42,-0.52,0.79,0.7,11.7,,,,,,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.21,1.84,18.51,0.713,1.739,-2.12,1.33,-0.36,0.28,0.53,0.04,0.24,0,0,0,0,tran,2012
