P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
KOI-1870.01,,1870.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,6.97,,2.20,0.65,1.44,1.78,        69.49287,        69.49287,        69.49289,735.6,735.6,735.6,790.4,790.4,790.4,4.6,-23.52,4.18,7.96,0.07,0.00,0.07,88.8,,KOI-1870,,,Lyr,G,0.75,0.76,5099.0,0.350314,,13.900,14.4,446.15,18.7722,47.2336,-31.4,5.7068,1,0,0.456,1.156,-2.10,0.60,-0.46,0.31,0.00,0.62,0.03,0.26,0,0,0,0,tran,2012
KOI-1871.01,,1871.01,Warm,Superterran,rocky-water,metals-rich,thermoplanet,,7.03,,2.21,0.65,1.44,1.78,        1.242579,        1.242579,        1.242579,269.0,269.0,269.0,323.8,323.8,323.8,4.6,-19.14,4.20,92.72,0.35,0.00,0.35,89.4,,KOI-1871,,,Lyr,K,0.65,0.62,4572.0,0.148757,,14.000,14.9,360.95,19.0169,46.5822,-27.0,0.9488,1,1,0.303,0.788,-0.82,0.61,0.37,0.48,0.00,0.62,0.89,0.72,0,1,0,0,tran,2012
KOI-1872.01,,1872.01,Hot,Jovian,gas,metals-rich,non-habitable,,37.20,,6.90,0.11,0.78,2.32,        15.65564,        15.65564,        15.65565,506.8,506.8,506.8,,,,4.2,-24.39,13.14,30.52,0.18,0.00,0.18,88.2,,KOI-1872,,,Cyg,G,0.91,0.80,5512.0,0.530037,,0.800,15.8,1050.16,19.2209,46.7714,-29.7,2.3172,1,0,0.552,1.373,-1.90,5.30,0.26,0.15,,0.25,0.12,0.18,0,0,0,0,tran,2012
KOI-1873.01,,1873.01,Hot,Neptunian,gas,metals-rich,non-habitable,,24.01,,5.40,0.15,0.82,2.11,        10.09930,        10.09930,        10.09931,454.2,454.2,454.2,,,,3.7,-23.38,10.28,71.31,0.34,0.00,0.34,87.7,,KOI-1873,,,Cyg,F,1.06,0.97,6134.0,1.195111,,0.300,15.7,1460.71,19.7206,40.0085,-29.3,1.5027,1,0,0.809,1.956,-1.81,4.03,0.18,0.18,,0.31,0.18,0.24,0,0,0,0,tran,2012
KOI-1874.01,,1874.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,8.67,,2.47,0.58,1.42,1.87,        7.812675,        7.812677,        7.812678,425.9,425.9,425.9,481.2,481.2,481.2,5.0,-21.39,4.70,18.68,0.12,0.00,0.12,86.5,,KOI-1874,,,Cyg,K,0.60,0.57,4354.0,0.105127,,13.800,15.4,388.10,19.9512,45.2274,-29.0,2.6235,2,0,0.257,0.674,-1.67,0.85,0.03,0.35,0.00,0.58,0.23,0.38,0,0,0,0,tran,2012
KOI-1874.02,,1874.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,,3.61,,1.62,0.85,1.38,1.49,        26.48711,        26.48712,        26.48712,578.0,578.0,578.0,631.1,631.1,631.1,3.1,-21.80,3.08,7.42,0.06,0.00,0.06,83.7,,KOI-1874,,,Cyg,K,0.60,0.57,4354.0,0.105127,,13.800,15.4,388.10,19.9512,45.2274,-30.3,4.8315,2,0,0.257,0.674,-1.93,0.08,-0.53,0.33,0.00,0.76,0.07,0.32,0,0,0,0,tran,2012
KOI-1875.01,,1875.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,7.59,,2.30,0.62,1.44,1.82,        125.9050,        125.9050,        125.9050,853.4,853.4,853.4,908.4,908.4,908.4,4.7,-24.27,4.37,9.92,0.09,0.00,0.09,87.1,,KOI-1875,,,Cyg,G,1.02,0.96,5959.0,1.042619,,2.400,14.5,795.88,19.8625,46.8814,-32.0,5.6242,1,0,0.761,1.853,-2.23,0.69,-0.53,0.30,0.00,0.61,0.02,0.25,0,0,0,0,tran,2012
KOI-1876.01,,1876.01,Warm,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.73,0.47,1.27,1.87,        1.226478,        1.226478,        1.226478,268.1,268.1,268.1,322.8,322.8,322.8,4.4,-19.59,5.19,82.53,0.32,0.00,0.32,89.4,,KOI-1876,,,Cyg,K,0.62,0.59,4450.0,0.122471,,14.000,15.2,374.06,19.8060,49.6266,-27.0,0.9950,1,1,0.276,0.722,-0.82,1.21,0.47,0.39,0.00,0.54,0.90,0.66,0,0,0,0,tran,2012
KOI-1877.01,,1877.01,Hot,Neptunian,gas,metals-rich,non-habitable,,12.76,,3.79,0.23,0.89,1.83,        116.2352,        116.2352,        116.2352,836.5,836.5,836.5,,,,3.0,-25.27,7.21,20.16,0.14,0.00,0.14,90.0,,KOI-1877,,,Dra,K,0.91,2.10,4916.0,2.310873,,14.000,13.4,712.74,18.9620,47.6418,-31.9,7.9434,1,0,1.180,3.017,-2.13,2.60,-0.50,0.23,,0.42,0.02,0.19,0,0,0,0,tran,2012
KOI-1878.01,,1878.01,Hot,Neptunian,gas,metals-rich,non-habitable,,9.50,,3.20,0.29,0.93,1.72,        32.53562,        32.53562,        32.53562,608.5,608.5,608.5,,,,2.8,-23.51,6.08,40.81,0.24,0.00,0.24,88.2,,KOI-1878,,,Lyr,F,1.12,1.17,6250.0,1.874052,,2.910,13.0,534.09,19.0815,38.2582,-30.5,2.5982,1,0,1.008,2.427,-2.08,2.03,-0.38,0.25,,0.48,0.06,0.24,0,0,0,0,tran,2012
