P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
KOI-1.01,Kepler-1 b,1.01,Hot,Jovian,gas,metals-rich,non-habitable,,138.41,,14.40,0.05,0.67,3.10,        888.7846,        888.7847,        888.7849,1391.1,1391.1,1391.1,,,,6.4,-30.40,27.63,2.47,0.04,0.00,0.04,84.2,,KOI-1,,,Cyg,G,0.98,1.06,5814.0,1.151865,,6.500,11.3,196.56,19.1206,49.3164,-34.1,15.7409,1,0,0.804,1.972,-2.32,11.36,-0.12,0.08,,0.13,0.00,0.06,0,0,0,1,tran,2011
KOI-2.01,Kepler-2 b,2.01,Hot,Jovian,gas,metals-rich,non-habitable,571.77,572.04,,15.93,0.14,2.25,5.99,        6669.697,        6669.699,        6669.700,2302.4,2302.4,2302.4,,,,81.0,-32.82,30.63,2.20,0.04,0.00,0.04,88.2,,KOI-2,,,Cyg,F,1.65,2.71,6264.0,10.144613,,1.980,10.5,390.62,19.4832,47.9695,-36.3,37.7077,1,0,2.345,5.641,-2.40,11.75,0.69,0.08,,0.12,0.00,0.06,0,0,0,1,tran,2011
KOI-3.01,Kepler-3 b,3.01,Hot,Neptunian,gas,metals-rich,non-habitable,25.74,25.74,,5.07,0.20,1.00,2.25,        94.25557,        94.25558,        94.25560,793.8,793.8,793.8,,,,5.1,-25.67,9.64,4.89,0.05,0.00,0.05,90.0,,KOI-3,,,Cyg,K,0.78,0.74,4766.0,0.254867,,9.000,9.2,34.29,19.8473,48.0809,-31.7,7.6099,1,0,0.394,1.015,-2.10,3.46,-0.18,0.20,,0.33,0.02,0.16,0,0,0,1,tran,2011
KOI-5.01,,5.01,Hot,Neptunian,gas,metals-rich,non-habitable,,26.11,,5.66,0.14,0.82,2.15,        634.5961,        634.5963,        634.5963,1278.7,1278.7,1278.7,,,,3.8,-28.00,10.77,4.78,0.06,0.00,0.06,82.5,,KOI-5,,,Cyg,G,1.14,1.42,5861.0,2.134782,,5.100,11.7,310.86,19.3160,44.6474,-33.8,13.0756,2,0,1.093,2.674,-2.31,4.26,-0.57,0.17,,0.30,0.00,0.14,0,0,0,0,tran,2011
KOI-5.02,,5.02,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,,0.28,,0.66,0.98,0.65,0.65,        379.5167,        379.5167,        379.5168,1124.5,1124.5,1124.5,1167.3,1167.3,1167.3,0.3,-22.75,1.25,7.05,0.07,0.00,0.07,85.4,,KOI-5,,,Cyg,G,1.14,1.42,5861.0,2.134782,,5.100,11.7,310.86,19.3160,44.6474,-33.2,10.1030,2,0,1.093,2.674,-2.29,-0.41,-1.35,0.27,0.00,0.80,0.01,0.28,0,0,0,0,tran,2011
KOI-7.01,Kepler-4 b,7.01,Hot,Neptunian,gas,metals-rich,non-habitable,24.16,24.47,,4.00,0.38,1.53,2.47,        880.2159,        880.2161,        880.2163,1387.7,1387.7,1387.7,,,,9.3,-27.60,7.61,3.21,0.04,0.00,0.04,80.8,,KOI-7,,,Dra,G,1.12,1.27,5858.0,1.704098,,4.700,12.2,356.71,19.0410,50.1358,-34.1,15.4285,1,0,0.976,2.389,-2.32,2.05,-0.45,0.24,,0.40,0.00,0.18,0,0,0,1,tran,2011
KOI-10.01,Kepler-8 b,10.01,Hot,Jovian,gas,metals-rich,non-habitable,191.01,191.63,,15.91,0.05,0.76,3.47,        1302.481,        1302.481,        1302.481,1530.5,1530.5,1530.5,,,,9.1,-31.03,30.59,3.52,0.05,0.00,0.05,85.4,,KOI-10,,,Lyr,F,1.14,1.56,6025.0,2.877181,,5.400,13.6,861.31,18.7525,42.4511,-34.6,17.7593,1,0,1.260,3.062,-2.35,12.35,-0.01,0.07,,0.12,0.00,0.06,0,0,0,1,tran,2011
KOI-12.01,,12.01,Hot,Jovian,gas,metals-rich,non-habitable,,121.72,,13.40,0.05,0.68,3.01,        164.3557,        164.3557,        164.3557,912.2,912.2,912.2,,,,6.2,-28.40,25.68,17.86,0.14,0.00,0.14,90.0,,KOI-12,,,Cyg,F,1.27,1.40,6635.0,3.408079,,2.120,11.4,340.44,19.8302,41.0110,-32.3,5.1829,1,0,1.341,3.182,-2.30,10.55,0.20,0.08,,0.14,0.01,0.07,0,0,0,0,tran,2011
KOI-13.01,KOI-13 b,13.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,3832.83,3845.38,,20.51,0.45,9.14,13.69,        30666.97,        30666.97,        30666.97,3371.4,3371.4,3371.4,,,,1713.3,-35.04,39.78,1.76,0.04,0.00,0.04,85.4,,KOI-13,,,Lyr,A,2.26,2.70,9071.0,44.283106,,0.580,10.0,647.50,19.1314,46.8684,-38.0,38.5904,1,0,4.753,11.102,-2.49,23.90,2.83,0.04,,0.09,0.00,0.05,0,0,0,1,tran,2011
KOI-17.01,Kepler-6 b,17.01,Hot,Jovian,gas,metals-rich,non-habitable,212.61,212.61,,14.83,0.07,0.97,3.79,        597.5871,        597.5871,        597.5872,1259.6,1259.6,1259.6,,,,13.9,-30.03,28.47,3.23,0.04,0.00,0.04,90.0,,KOI-17,,,Cyg,G,1.12,1.08,5826.0,1.210114,,1.300,13.3,495.84,19.7891,48.2399,-33.7,12.8405,1,0,0.824,2.019,-2.30,11.16,0.33,0.08,,0.13,0.00,0.06,0,0,0,1,tran,2011
KOI-18.01,Kepler-5 b,18.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,671.83,671.83,,16.04,0.16,2.61,6.47,        2128.730,        2128.730,        2128.731,1730.5,1730.5,1730.5,,,,109.4,-31.59,30.85,3.55,0.05,0.00,0.05,90.0,,KOI-18,,,Cyg,F,1.46,2.02,6297.0,5.756087,,2.600,13.4,1114.62,19.9605,44.0351,-35.1,20.8160,1,0,1.764,4.238,-2.38,11.95,1.28,0.08,,0.12,0.00,0.06,0,0,0,1,tran,2011
KOI-20.01,Kepler-12 b,20.01,Hot,Jovian,gas,metals-rich,non-habitable,136.97,136.97,,19.00,0.02,0.38,2.69,        711.3100,        711.3101,        711.3101,1315.7,1315.7,1315.7,,,,2.7,-30.76,36.73,4.44,0.06,0.00,0.06,90.0,,KOI-20,,,Dra,F,1.18,1.38,6011.0,2.230668,,4.010,13.4,716.17,19.0829,50.0404,-33.9,13.1615,1,0,1.110,2.699,-2.33,16.10,-0.30,0.06,,0.10,0.00,0.05,0,0,0,1,tran,2011
KOI-22.01,,22.01,Hot,Jovian,gas,metals-rich,non-habitable,,89.35,,11.27,0.06,0.70,2.82,        215.0842,        215.0843,        215.0843,975.7,975.7,975.7,,,,5.6,-28.32,21.54,7.89,0.08,0.00,0.08,89.4,,KOI-22,,,Lyr,G,1.16,1.11,5972.0,1.411168,,1.500,13.4,568.84,18.8420,46.3234,-32.6,7.3211,1,0,0.884,2.154,-2.27,8.84,0.01,0.10,,0.16,0.01,0.08,0,0,0,0,tran,2011
KOI-41.01,,41.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,6.23,,2.08,0.69,1.44,1.73,        134.3105,        134.3105,        134.3105,867.3,867.3,867.3,921.9,921.9,921.9,4.3,-24.12,3.95,12.82,0.11,0.00,0.11,84.8,,KOI-41,,,Lyr,G,1.10,1.23,5909.0,1.654840,,4.600,11.2,220.86,19.4257,41.9903,-32.1,5.9079,3,0,0.960,2.345,-2.23,0.48,-0.59,0.30,0.00,0.65,0.01,0.26,0,0,0,0,tran,2011
KOI-41.02,,41.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.83,,1.24,0.96,1.19,1.22,        310.5347,        310.5348,        310.5349,1069.5,1069.5,1069.5,1120.3,1120.3,1120.3,1.8,-23.90,2.36,6.89,0.07,0.00,0.07,81.9,,KOI-41,,,Lyr,G,1.10,1.23,5909.0,1.654840,,4.600,11.2,220.86,19.4257,41.9903,-33.0,8.9885,3,0,0.960,2.345,-2.28,-0.19,-1.01,0.29,0.00,0.89,0.01,0.29,0,0,0,0,tran,2011
KOI-41.03,,41.03,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,2.52,,1.40,0.92,1.29,1.34,        34.82114,        34.82114,        34.82115,618.9,618.9,618.9,670.8,670.8,670.8,2.3,-21.78,2.66,35.33,0.22,0.00,0.22,87.1,,KOI-41,,,Lyr,G,1.10,1.23,5909.0,1.654840,,4.600,11.2,220.86,19.4257,41.9903,-30.6,3.0072,3,0,0.960,2.345,-2.07,-0.08,-0.69,0.31,0.00,0.83,0.06,0.32,0,0,0,0,tran,2011
KOI-42.01,,42.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.71,0.48,1.29,1.87,        120.9679,        120.9679,        120.9679,844.9,844.9,844.9,899.7,899.7,899.7,4.5,-24.58,5.15,17.83,0.14,0.00,0.14,87.7,,KOI-42,,,Lyr,F,1.17,1.36,6170.0,2.404963,,3.400,9.4,114.93,18.8767,45.1398,-32.0,5.1419,1,0,1.146,2.767,-2.24,1.17,-0.48,0.28,0.00,0.54,0.02,0.23,0,0,0,0,tran,2011
KOI-44.01,,44.01,Hot,Jovian,gas,metals-rich,non-habitable,,67.22,,9.61,0.08,0.73,2.64,        6.860711,        6.860712,        6.860712,412.3,412.3,412.3,,,,5.1,-24.21,18.34,66.47,0.30,0.00,0.30,90.0,,KOI-44,,,Cyg,G,0.85,0.88,5490.0,0.634040,,,13.5,389.77,20.0101,45.0896,-28.8,1.5462,1,0,0.604,1.504,-1.67,7.51,0.79,0.11,,0.19,0.25,0.22,0,0,0,0,tran,2011
KOI-46.01,,46.01,Hot,Neptunian,gas,metals-rich,non-habitable,,16.18,,4.33,0.20,0.86,1.93,        547.4122,        547.4122,        547.4124,1232.3,1232.3,1232.3,,,,3.2,-27.25,8.24,3.49,0.05,0.00,0.05,80.8,,KOI-46,,,Dra,G,1.12,1.10,5764.0,1.209234,,2.300,13.8,613.95,18.8837,48.3552,-33.6,12.5543,2,0,0.826,2.029,-2.29,3.09,-0.66,0.20,,0.38,0.00,0.17,0,0,0,0,tran,2011
KOI-46.02,,46.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.89,,0.96,1.00,0.96,0.96,        269.3770,        269.3771,        269.3772,1032.1,1032.1,1032.1,1080.0,1080.0,1080.0,0.9,-23.19,1.82,6.03,0.07,0.00,0.07,83.1,,KOI-46,,,Dra,G,1.12,1.10,5764.0,1.209234,,2.300,13.8,613.95,18.8837,48.3552,-32.8,8.7978,2,0,0.826,2.029,-2.26,-0.33,-1.15,0.28,0.00,0.98,0.01,0.30,0,0,0,0,tran,2011
KOI-49.01,,49.01,Hot,Neptunian,gas,metals-rich,non-habitable,,9.64,,3.24,0.28,0.92,1.73,        174.7035,        174.7035,        174.7035,926.2,926.2,926.2,,,,2.7,-25.37,6.16,8.31,0.08,0.00,0.08,87.1,,KOI-49,,,Cyg,G,1.10,1.04,5923.0,1.203533,,1.500,13.7,594.25,19.4833,46.1648,-32.4,6.7070,1,0,0.818,1.997,-2.25,2.08,-0.63,0.24,,0.47,0.01,0.21,0,0,0,0,tran,2011
KOI-51.01,,51.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,,107.50,,12.50,0.06,0.69,2.93,        2.298378,        2.298378,        2.298378,313.7,313.7,313.7,,,,5.9,-23.59,23.93,10.43,0.06,0.00,0.06,85.4,,KOI-51,,,Cyg,M,0.21,0.27,3240.0,0.007208,,,13.8,47.20,19.7279,41.3324,-27.6,2.5696,1,0,0.069,0.190,-1.22,9.83,1.47,0.09,,0.15,0.61,0.34,0,0,0,0,tran,2011
KOI-63.01,,63.01,Hot,Jovian,gas,metals-rich,non-habitable,,31.71,,6.31,0.13,0.80,2.24,        119.6454,        119.6454,        119.6455,842.6,842.6,842.6,,,,4.0,-26.41,12.01,9.43,0.09,0.00,0.09,89.4,,KOI-63,,,Cyg,G,1.06,0.99,5721.0,0.947712,,1.400,11.6,199.39,19.2817,49.5482,-31.9,5.9486,1,0,0.732,1.803,-2.20,4.81,-0.24,0.16,,0.27,0.02,0.14,0,0,0,0,tran,2011
KOI-69.01,,69.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,3.00,,1.50,0.89,1.33,1.41,        237.1120,        237.1121,        237.1121,999.7,999.7,999.7,1052.3,1052.3,1052.3,2.7,-24.02,2.85,4.73,0.05,0.00,0.05,86.5,,KOI-69,,,Lyr,G,0.90,0.87,5593.0,0.666048,,6.100,9.9,78.43,19.4279,38.6724,-32.7,8.7665,1,0,0.617,1.528,-2.24,-0.01,-0.86,0.29,0.00,0.80,0.01,0.28,0,0,0,0,tran,2011
KOI-70.01,Kepler-20 c,70.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,16.19,16.21,,3.03,0.58,1.77,2.31,        80.28022,        80.28022,        80.28023,762.6,762.6,762.6,820.6,820.6,820.6,9.5,-24.37,5.75,10.85,0.09,0.00,0.09,87.7,,KOI-70,,,Lyr,G,0.91,0.94,5443.0,0.694344,,9.300,12.5,259.71,19.1799,42.3387,-31.5,5.3827,5,0,0.634,1.580,-2.14,1.09,-0.11,0.29,0.00,0.50,0.02,0.22,0,0,0,1,tran,2011
KOI-70.02,Kepler-20 b,70.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,8.55,8.58,,1.91,1.24,2.36,2.12,        342.8857,        342.8857,        342.8857,1096.3,1096.3,1096.3,1154.8,1154.8,1154.8,10.6,-24.95,3.62,3.70,0.04,0.00,0.04,85.4,,KOI-70,,,Lyr,G,0.91,0.94,5443.0,0.694344,,9.300,12.5,259.71,19.1799,42.3387,-33.1,11.1377,5,0,0.634,1.580,-2.24,-0.15,-0.49,0.30,0.00,0.69,0.01,0.26,0,0,0,1,tran,2011
KOI-70.03,Kepler-20 d,70.03,Hot,Neptunian,water-gas,metals-rich,non-habitable,,9.50,,2.80,0.43,1.21,1.84,        5.867558,        5.867560,        5.867561,396.5,396.5,396.5,450.9,450.9,450.9,4.1,-21.35,5.33,77.61,0.34,0.00,0.34,89.4,,KOI-70,,,Lyr,G,0.91,0.94,5443.0,0.694344,,9.300,12.5,259.71,19.1799,42.3387,-28.7,1.4547,5,0,0.634,1.580,-1.61,1.34,0.06,0.32,0.00,0.53,0.29,0.40,0,0,0,1,tran,2011
KOI-70.04,Kepler-20 e,70.04,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.67,,0.87,1.00,0.88,0.88,        174.9417,        174.9417,        174.9417,926.5,926.5,926.5,973.2,973.2,973.2,0.7,-22.51,1.66,6.10,0.06,0.00,0.06,86.5,,KOI-70,,,Lyr,G,0.91,0.94,5443.0,0.694344,,9.300,12.5,259.71,19.1799,42.3387,-32.4,7.9494,5,0,0.634,1.580,-2.21,-0.36,-1.17,0.28,0.00,0.93,0.01,0.30,0,0,0,1,tran,2011
KOI-70.05,Kepler-20 f,70.05,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.03,,1.01,1.00,1.01,1.01,        36.99416,        36.99417,        36.99417,628.3,628.3,628.3,676.8,676.8,676.8,1.0,-21.13,1.92,19.58,0.14,0.00,0.14,88.2,,KOI-70,,,Lyr,G,0.91,0.94,5443.0,0.694344,,9.300,12.5,259.71,19.1799,42.3387,-30.7,3.6532,5,0,0.634,1.580,-2.05,-0.31,-0.95,0.30,0.00,1.00,0.05,0.33,0,0,0,1,tran,2011
KOI-72.01,Kepler-10 b,72.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,4.54,4.54,,1.42,1.58,2.24,1.79,        3112.431,        3112.431,        3112.431,1902.9,1902.9,1902.9,1959.7,1959.7,1959.7,7.2,-26.72,2.71,0.84,0.02,0.00,0.02,87.1,,KOI-72,,,Dra,G,0.90,1.00,5627.0,0.899493,,10.000,11.0,146.14,19.0453,50.2413,-35.5,31.7528,2,0,0.716,1.770,-2.33,-0.55,-0.94,0.28,0.00,0.83,0.00,0.28,0,0,0,1,tran,2011
KOI-72.02,Kepler-10 c,72.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,,7.16,,2.23,0.64,1.44,1.79,        15.48686,        15.48686,        15.48687,505.4,505.4,505.4,560.3,560.3,560.3,4.6,-21.91,4.24,45.29,0.24,0.00,0.24,90.0,,KOI-72,,,Dra,G,0.90,1.00,5627.0,0.899493,,10.000,11.0,146.14,19.0453,50.2413,-29.7,2.2114,2,0,0.716,1.770,-1.90,0.63,-0.19,0.33,0.00,0.62,0.12,0.32,0,0,0,1,tran,2011
KOI-75.01,,75.01,Hot,Jovian,gas,metals-rich,non-habitable,,57.44,,8.80,0.08,0.74,2.55,        21.24134,        21.24134,        21.24134,546.9,546.9,546.9,,,,4.8,-25.25,16.78,105.89,0.47,0.00,0.47,88.8,,KOI-75,,,Lyr,G,1.23,2.06,5925.0,4.692212,,4.830,10.8,306.50,19.4331,42.7285,-30.1,2.3359,1,0,1.616,3.943,-1.98,6.85,0.38,0.12,,0.20,0.09,0.15,0,0,0,0,tran,2011
KOI-82.01,,82.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,9.11,,2.54,0.56,1.41,1.89,        20.95790,        20.95790,        20.95790,545.1,545.1,545.1,600.4,600.4,600.4,5.1,-22.53,4.83,16.15,0.12,0.00,0.12,87.7,,KOI-82,,,Lyr,K,0.81,0.74,4908.0,0.282009,,5.100,11.5,104.37,18.7655,47.2080,-30.0,3.3818,5,0,0.412,1.055,-1.92,0.92,-0.16,0.32,0.00,0.56,0.09,0.29,0,0,0,0,tran,2011
KOI-82.02,,82.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,2.25,,1.34,0.94,1.26,1.30,        38.12999,        38.13000,        38.13001,633.1,633.1,633.1,684.6,684.6,684.6,2.1,-21.78,2.55,10.31,0.09,0.00,0.09,87.1,,KOI-82,,,Lyr,K,0.81,0.74,4908.0,0.282009,,5.100,11.5,104.37,18.7655,47.2080,-30.7,4.5620,5,0,0.412,1.055,-2.02,-0.12,-0.73,0.32,0.00,0.85,0.05,0.32,0,0,0,0,tran,2011
KOI-82.03,,82.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.25,,1.08,0.99,1.07,1.08,        10.35847,        10.35848,        10.35848,457.1,457.1,457.1,506.3,506.3,506.3,1.2,-19.89,2.05,27.45,0.17,0.00,0.17,88.2,,KOI-82,,,Lyr,K,0.81,0.74,4908.0,0.282009,,5.100,11.5,104.37,18.7655,47.2080,-29.3,2.3773,5,0,0.412,1.055,-1.77,-0.28,-0.76,0.34,0.00,0.96,0.18,0.42,0,0,0,0,tran,2011
KOI-82.04,,82.04,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,,0.32,,0.69,0.99,0.68,0.69,        62.82232,        62.82234,        62.82236,717.3,717.3,717.3,760.7,760.7,760.7,0.3,-20.88,1.31,7.07,0.07,0.00,0.07,87.1,,KOI-82,,,Lyr,K,0.81,0.74,4908.0,0.282009,,5.100,11.5,104.37,18.7655,47.2080,-31.2,5.8567,5,0,0.412,1.055,-2.08,-0.41,-1.23,0.29,0.00,0.82,0.03,0.30,0,0,0,0,tran,2011
KOI-82.05,,82.05,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,,0.15,,0.54,0.97,0.53,0.53,        93.22626,        93.22628,        93.22630,791.6,791.6,791.6,831.8,831.8,831.8,0.1,-20.78,1.03,5.29,0.06,0.00,0.06,85.4,,KOI-82,,,Lyr,K,0.81,0.74,4908.0,0.282009,,5.100,11.5,104.37,18.7655,47.2080,-31.7,7.1360,5,0,0.412,1.055,-2.11,-0.44,-1.36,0.28,0.00,0.70,0.02,0.28,0,0,0,0,tran,2011
KOI-84.01,Kepler-19 b,84.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,7.09,,2.22,0.65,1.44,1.79,        88.03299,        88.03300,        88.03302,780.4,780.4,780.4,835.3,835.3,835.3,4.6,-23.80,4.22,9.29,0.08,0.00,0.08,86.5,,KOI-84,,,Lyr,G,0.91,0.86,5541.0,0.621161,,4.000,11.9,186.58,19.3614,37.8518,-31.6,5.4391,1,0,0.597,1.482,-2.16,0.61,-0.49,0.30,0.00,0.62,0.02,0.26,0,0,0,1,tran,2011
KOI-85.01,Kepler-65 b,85.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,7.97,,2.36,0.61,1.43,1.84,        403.4262,        403.4262,        403.4263,1141.8,1141.8,1141.8,1196.9,1196.9,1196.9,4.8,-25.59,4.49,5.86,0.07,0.00,0.07,83.7,,KOI-85,,,Lyr,F,1.20,1.20,6172.0,1.865443,,1.650,11.0,216.02,19.2459,41.1512,-33.3,9.3914,3,0,1.009,2.436,-2.32,0.75,-0.68,0.28,0.00,0.60,0.00,0.24,0,0,0,0,tran,2011
KOI-85.02,Kepler-65 c,85.02,Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,,1.96,,1.27,0.95,1.21,1.24,        1522.810,        1522.810,        1522.811,1591.5,1591.5,1591.5,1642.5,1642.5,1642.5,1.9,-25.69,2.41,2.15,0.04,0.00,0.04,79.1,,KOI-85,,,Lyr,F,1.20,1.20,6172.0,1.865443,,1.650,11.0,216.02,19.2459,41.1512,-34.7,18.3035,3,0,1.009,2.436,-2.36,-0.17,-1.13,0.28,0.00,0.88,0.00,0.29,0,0,0,0,tran,2011
KOI-85.03,Kepler-65 d,85.03,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,2.57,,1.41,0.92,1.29,1.35,        264.3768,        264.3768,        264.3769,1027.3,1027.3,1027.3,1079.3,1079.3,1079.3,2.4,-24.01,2.68,8.13,0.08,0.00,0.08,84.8,,KOI-85,,,Lyr,F,1.20,1.20,6172.0,1.865443,,1.650,11.0,216.02,19.2459,41.1512,-32.8,7.5996,3,0,1.009,2.436,-2.30,-0.08,-0.92,0.29,0.00,0.83,0.01,0.29,0,0,0,0,tran,2011
KOI-87.01,Kepler-22 b,87.01,Warm,Superterran,rocky-water,metals-rich,mesoplanet,,6.36,,2.10,0.69,1.44,1.74,       0.9220241,       0.9220241,       0.9220243,249.6,249.6,249.6,304.3,304.3,304.3,4.4,-18.70,3.99,289.86,0.81,0.00,0.81,90.0,,KOI-87,,,Cyg,G,0.83,0.85,5510.0,0.597495,,9.900,11.7,164.38,19.2812,47.8845,-26.6,0.5627,1,1,0.586,1.458,-0.50,0.50,0.40,0.55,0.87,0.65,0.96,0.75,0,1,0,1,tran,2011
KOI-89.01,,89.01,Hot,Neptunian,gas,metals-rich,non-habitable,,18.74,,4.70,0.18,0.85,2.00,        93.25632,        93.25634,        93.25636,791.7,791.7,791.7,,,,3.4,-25.50,8.94,84.69,0.47,0.00,0.47,90.0,,KOI-89,,,Cyg,A,1.84,2.52,7713.0,20.164352,,1.070,11.6,945.38,19.9881,43.8143,-31.7,2.8884,2,0,3.207,7.491,-2.28,3.42,-0.36,0.19,,0.35,0.02,0.17,0,0,0,0,tran,2011
KOI-89.02,,89.02,Hot,Jovian,gas,metals-rich,non-habitable,,31.62,,6.30,0.13,0.80,2.24,        28.24039,        28.24040,        28.24040,587.3,587.3,587.3,,,,4.0,-24.83,11.99,207.60,0.84,0.00,0.84,89.4,,KOI-89,,,Cyg,A,1.84,2.52,7713.0,20.164352,,1.070,11.6,945.38,19.9881,43.8143,-30.4,1.5893,2,0,3.207,7.491,-2.10,4.80,0.06,0.16,,0.27,0.07,0.16,0,0,0,0,tran,2011
KOI-92.01,,92.01,Hot,Neptunian,gas,metals-rich,non-habitable,,10.07,,3.32,0.28,0.91,1.74,        11.47749,        11.47749,        11.47749,468.9,468.9,468.9,,,,2.8,-22.45,6.31,65.70,0.33,0.00,0.33,88.8,,KOI-92,,,Lyr,G,1.07,1.04,5952.0,1.227277,,2.200,11.7,235.92,18.8917,43.7882,-29.4,1.7015,1,0,0.825,2.012,-1.84,2.16,-0.17,0.26,,0.46,0.16,0.30,0,0,0,0,tran,2011
KOI-94.01,KOI-94 b,94.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,2.79,,1.46,0.90,1.31,1.38,        107.4079,        107.4079,        107.4079,820.2,820.2,820.2,872.5,872.5,872.5,2.5,-23.10,2.77,22.34,0.17,0.00,0.17,89.4,,KOI-94,,,Cyg,F,1.28,1.52,6184.0,3.031481,,3.130,12.2,474.46,19.8222,41.8911,-31.8,4.8230,4,0,1.286,3.103,-2.23,-0.04,-0.80,0.30,0.00,0.81,0.02,0.29,0,0,0,0,tran,2011
KOI-94.02,KOI-94 c,94.02,Hot,Neptunian,gas,metals-rich,non-habitable,,10.92,,3.47,0.26,0.90,1.77,        297.1748,        297.1749,        297.1749,1057.8,1057.8,1057.8,,,,2.8,-26.10,6.61,10.42,0.10,0.00,0.10,90.0,,KOI-94,,,Cyg,F,1.28,1.52,6184.0,3.031481,,3.130,12.2,474.46,19.8222,41.8911,-32.9,8.0267,4,0,1.286,3.103,-2.30,2.30,-0.68,0.23,,0.45,0.01,0.20,0,0,0,0,tran,2011
KOI-94.03,KOI-94 d,94.03,Hot,Jovian,gas,metals-rich,non-habitable,,63.44,,9.30,0.08,0.73,2.61,        32.58780,        32.58781,        32.58782,608.7,608.7,608.7,,,,5.0,-25.84,17.75,54.32,0.30,0.00,0.30,89.4,,KOI-94,,,Cyg,F,1.28,1.52,6184.0,3.031481,,3.130,12.2,474.46,19.8222,41.8911,-30.5,2.6561,4,0,1.286,3.103,-2.08,7.26,0.32,0.12,,0.19,0.06,0.12,0,0,0,0,tran,2011
KOI-94.04,KOI-94 e,94.04,Hot,Neptunian,gas,metals-rich,non-habitable,,24.75,,5.49,0.15,0.82,2.12,        1165.506,        1165.506,        1165.506,1488.6,1488.6,1488.6,,,,3.7,-28.59,10.45,3.74,0.05,0.00,0.05,88.8,,KOI-94,,,Cyg,F,1.28,1.52,6184.0,3.031481,,3.130,12.2,474.46,19.8222,41.8911,-34.4,15.9343,4,0,1.286,3.103,-2.36,4.11,-0.67,0.17,,0.31,0.00,0.14,0,0,0,0,tran,2011
KOI-97.01,Kepler-7 b,97.01,Hot,Jovian,gas,metals-rich,non-habitable,137.26,137.61,,18.09,0.02,0.42,2.76,        947.2407,        947.2408,        947.2409,1413.4,1413.4,1413.4,,,,3.2,-30.97,34.92,4.89,0.06,0.00,0.06,85.9,,KOI-97,,,Lyr,G,1.27,1.78,5934.0,3.524683,,4.430,12.9,698.69,19.2388,41.0898,-34.2,15.5988,1,0,1.400,3.415,-2.33,15.15,-0.31,0.06,,0.10,0.00,0.05,0,0,0,1,tran,2011
