KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Gravity (EU),P. Esc Vel (EU),P. Period (days),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year,S. Name,S. Constellation
505.01,2.9555,594,29,107.809,0.0026,13.76725,0.00025,39.7,1.4,0.02282,0.0006,0.011,0.01,3.1,0.113,734,0.000024,2,,,Hot,Jovian,gas,metals-rich,non-habitable,0.8,2.23,13.77,1.101,2.795,-2.17,4.71,-0.31,0.16,0.28,0.01,0.13,0,0,0,0,tran,2011,KOI-505,Lyr
507.01,3.5887,1454,26,106.4976,0.0026,18.49248,0.00032,36,150,0.039,0.033,0.5,2.1,4.3,0.136,619,0.00015,2,,,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.74,18.49,0.538,1.351,-2.01,2.14,-0.36,0.25,0.47,0.06,0.24,0,0,0,0,tran,2011,KOI-507,Cyg
508.01,3.5907,685,46,102.5153,0.002,7.93059,0.00011,12,23,0.0272,0.0099,0.7,1.1,3.8,0.08,965,0.000025,2,1,,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.77,7.93,0.753,1.858,-2.22,2.27,-0.59,0.24,0.45,0.01,0.2,0,0,0,0,tran,2011,KOI-508,Lyr
508.02,4.0833,645,33,113.2053,0.0031,16.66519,0.00038,27,84,0.025,0.015,0.6,1.7,3.5,0.131,754,0.000026,2,1,,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.74,16.67,0.753,1.858,-2.13,2.15,-0.46,0.25,0.46,0.03,0.22,0,0,0,0,tran,2011,KOI-508,Lyr
509.01,2.7553,789,50,102.7129,0.0018,4.167068,0.000051,9,24,0.028,0.014,0.6,1.5,2.7,0.051,988,0.00019,2,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.81,4.17,0.595,1.471,-2.24,0.66,-0.63,0.29,0.61,0.01,0.25,0,0,0,0,tran,2011,KOI-509,Cyg
509.02,2.7152,840,33,70.3827,0.0028,11.46349,0.00014,23,94,0.03,0.025,0.7,1.6,2.9,0.1,705,-,4,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.21,1.84,11.46,0.595,1.471,-2.14,1.33,-0.41,0.28,0.53,0.03,0.24,0,0,0,0,tran,2011,KOI-509,Cyg
510.01,2.7078,410,29,102.8992,0.0026,2.940409,0.000053,5,16,0.023,0.012,0.8,1.2,2.7,0.041,1208,0.000031,2,1,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.82,2.94,0.676,1.677,-2.27,0.69,-0.73,0.29,0.61,0,0.24,0,0,0,0,tran,2011,KOI-510,Lyr
510.02,3.1918,492,25,108.4732,0.0033,6.38914,0.00015,12,46,0.023,0.017,0.7,1.8,2.7,0.068,938,0.000029,2,1,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.88,6.39,0.676,1.677,-2.22,0.88,-0.55,0.29,0.57,0.01,0.24,0,0,0,0,tran,2011,KOI-510,Lyr
511.01,3.2069,596,43,103.5031,0.0021,8.00573,0.00012,19.76,0.4,0.02329,0.00038,0.0106,-,2.8,0.081,936,0.000056,2,,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.21,1.84,8.01,0.896,2.169,-2.28,1.33,-0.6,0.27,0.53,0.01,0.22,0,0,0,0,tran,2011,KOI-511,Cyg
512.01,3.3326,474,20,105.921,0.0044,6.5098,0.0002,15,90,0.02,0.025,0.4,2.6,2.6,0.069,985,0.000022,3,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.88,6.51,0.656,1.633,-2.21,0.88,-0.54,0.29,0.57,0.01,0.24,0,0,0,0,tran,2011,KOI-512,Lyr
