KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Gravity (EU),P. Esc Vel (EU),P. Period (days),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year,S. Name,S. Constellation
1.01,1.7952,13140,2062,55.76258,0.00004,2.4706131,0.0000004,8.519,0.082,0.12429,0.00029,0.816,0.067,20.3,0.037,1603,0.0000014,1,,1,Hot,Jovian,gas,metals-rich,non-habitable,0.67,3.1,2.47,0.804,1.972,-2.32,11.36,-0.12,0.08,0.13,0,0.06,0,0,0,1,tran,2011,KOI-1,Cyg
2.01,3.9107,6205,2413,54.35781,0.00005,2.2047355,0.0000004,4.152,0.041,0.07931,0.00012,0.51,0.1,11.6,0.037,1743,0.0000024,1,,1,Hot,Jovian,gas,metals-rich,non-habitable,2.25,5.99,2.2,2.345,5.641,-2.4,11.75,0.69,0.08,0.12,0,0.06,0,0,0,1,tran,2011,KOI-2,Cyg
3.01,2.3607,3873,328,57.81227,0.00033,4.8878177,0.0000089,16.1,9.1,0.0577,0.0073,0.29,0.86,4.8,0.05,796,0.000002,1,,1,Hot,Neptunian,gas,metals-rich,non-habitable,1,2.25,4.89,0.394,1.015,-2.1,3.46,-0.18,0.2,0.33,0.02,0.16,0,0,0,1,tran,2011,KOI-3,Cyg
5.01,2.0326,876,263,65.9735,0.00025,4.7803247,0.0000058,7.3,2.2,0.03707,0.0002,0.91,0.27,7,0.059,1376,-,3,,1,Hot,Neptunian,gas,metals-rich,non-habitable,0.82,2.15,4.78,1.093,2.674,-2.31,4.26,-0.57,0.17,0.3,0,0.14,0,0,0,0,tran,2011,KOI-5,Cyg
7.01,3.6234,683,231,56.61126,0.00041,3.213682,0.000011,3.94,0.56,0.02911,0.00069,0.86,0.23,3.7,0.044,1290,0.0000095,1,,1,Hot,Neptunian,gas,metals-rich,non-habitable,1.53,2.47,3.21,0.976,2.389,-2.32,2.05,-0.45,0.24,0.4,0,0.18,0,0,0,1,tran,2011,KOI-7,Dra
10.01,3.286,8686,237,54.11809,0.00062,3.522297,0.00008,8.15,0.34,0.09138,0.00071,0.53,0.21,10.5,0.047,1287,0.0000065,1,,1,Hot,Jovian,gas,metals-rich,non-habitable,0.76,3.47,3.52,1.26,3.062,-2.35,12.35,-0.01,0.07,0.12,0,0.06,0,0,0,1,tran,2011,KOI-10,Lyr
12.01,7.4343,8559,604,79.59772,0.00038,17.855038,0.000038,19.9,0.025,0.0874,0.0001,0.0003,-,12.6,0.141,868,0.0000094,3,NoObs,1,Hot,Jovian,gas,metals-rich,non-habitable,0.68,3.01,17.86,1.341,3.182,-2.3,10.55,0.2,0.08,0.14,0.01,0.07,0,0,0,0,tran,2011,KOI-12,Cyg
13.01,3.2029,4286,1147,53.56498,0.00012,1.7635892,0.0000014,4.51,0.2,0.07695,0.00043,0.26,0.24,20.5,0.035,3257,0.0000018,2,2_3,1,Hot,Jovian,gas,hydrogen-rich,non-habitable,9.14,13.69,1.76,4.753,11.102,-2.49,23.9,2.83,0.04,0.09,0,0.05,0,0,0,1,tran,2011,KOI-13,Lyr
17.01,3.9011,9939,724,54.48575,0.00007,3.2347003,0.0000012,6.9639,0.0036,0.09467,0.00004,-,-,9.4,0.041,1192,0.000016,1,,1,Hot,Jovian,gas,metals-rich,non-habitable,0.97,3.79,3.23,0.824,2.019,-2.3,11.16,0.33,0.08,0.13,0,0.06,0,0,0,1,tran,2011,KOI-17,Cyg
18.01,4.6271,6690,496,55.90127,0.00022,3.548461,0.000033,6.7257,0.0047,0.0788,0.00005,0.0001,-,8.2,0.045,1180,0.000033,1,,1,Hot,Jovian,gas,hydrogen-rich,non-habitable,2.61,6.47,3.55,1.764,4.238,-2.38,11.95,1.28,0.08,0.12,0,0.06,0,0,0,1,tran,2011,KOI-18,Cyg
20.01,4.7062,15524,2001,104.00835,0.00006,4.4379643,0.0000013,8.0762,0.0038,0.11678,0.00004,0.0001,-,12.8,0.054,1145,0.0000048,2,1_2_3,,Hot,Jovian,gas,metals-rich,non-habitable,0.38,2.69,4.44,1.11,2.699,-2.33,16.1,-0.3,0.06,0.1,0,0.05,0,0,0,1,tran,2011,KOI-20,Dra
22.01,4.3233,9783,1098,110.24939,0.00011,7.8914455,0.0000059,15.471,0.013,0.09222,0.00006,0.0271,-,9.4,0.079,890,0.0000053,2,1_2_3,,Hot,Jovian,gas,metals-rich,non-habitable,0.7,2.82,7.89,0.884,2.154,-2.27,8.84,0.01,0.1,0.16,0.01,0.08,0,0,0,0,tran,2011,KOI-22,Lyr
41.01,6.3192,206,44,55.9589,0.0042,12.81521,0.00029,15.67,0.24,0.01353,0.00019,0.001,0.01,1.4,0.109,741,0.000036,2,1_2_3_4,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.73,12.82,0.96,2.345,-2.23,0.48,-0.59,0.3,0.65,0.01,0.26,0,0,0,0,tran,2011,KOI-41,Lyr
42.01,4.4845,231,34,114.235,0.018,17.8328,0.0022,21.8612,0.0027,0.01721,-,0.6978,-,2.6,0.14,834,0.0000061,2,1_3,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.29,1.87,17.83,1.146,2.767,-2.24,1.17,-0.48,0.28,0.54,0.02,0.23,0,0,0,0,tran,2011,KOI-42,Lyr
44.01,14.0968,2543,67,93.395,0.013,66.5126,0.007,17.3,1.2,0.0782,0.0013,0.83,0.17,7.5,0.304,412,-,2,,1,Hot,Jovian,gas,metals-rich,non-habitable,0.73,2.64,66.47,0.604,1.504,-1.67,7.51,0.79,0.11,0.19,0.25,0.22,0,0,0,0,tran,2011,KOI-44,Cyg
46.01,3.8313,1241,145,103.931,0.00083,3.487714,0.000028,7.241,0.044,0.03279,0.00016,0.0021,-,3.2,0.043,1117,0.000011,2,1,,Hot,Neptunian,gas,metals-rich,non-habitable,0.86,1.93,3.49,0.826,2.029,-2.29,3.09,-0.66,0.2,0.38,0,0.17,0,0,0,0,tran,2011,KOI-46,Dra
49.01,3.6652,1026,17,108.99,0.0053,8.31393,0.00041,19,1.1,0.0266,0.0014,0.03,0.072,2.8,0.079,906,0.000034,2,1,,Hot,Neptunian,gas,metals-rich,non-habitable,0.92,1.73,8.31,0.818,1.997,-2.25,2.08,-0.63,0.24,0.47,0.01,0.21,0,0,0,0,tran,2011,KOI-49,Cyg
51.01,3.3759,24059,275,66.93528,0.00052,10.431147,0.00002,21.1,6.3,0.16271,0.00076,0.56,0.17,4.8,0.056,314,NaN,3,,1,Hot,Jovian,gas,hydrogen-rich,non-habitable,0.69,2.93,10.43,0.069,0.19,-1.22,9.83,1.47,0.09,0.15,0.61,0.34,0,0,0,0,tran,2011,KOI-51,Cyg
63.01,2.991,3783,97,110.8421,0.0015,9.434152,0.000098,27.57,0.63,0.0566,0.001,0.025,0.036,6.6,0.089,844,0.0000053,2,3,1,Hot,Jovian,gas,metals-rich,non-habitable,0.8,2.24,9.43,0.732,1.803,-2.2,4.81,-0.24,0.16,0.27,0.02,0.14,0,0,0,0,tran,2011,KOI-63,Cyg
69.01,2.8948,248,138,67.92512,0.00069,4.726745,0.000018,12.706,0.084,0.01465,0.00008,0,0.014,1.6,0.056,1036,-,3,,1,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.33,1.41,4.73,0.617,1.528,-2.24,-0.01,-0.86,0.29,0.8,0.01,0.28,0,0,0,0,tran,2011,KOI-69,Lyr
70.01,3.7978,946,135,71.60857,0.00081,10.854042,0.000039,20,18,0.0297,0.0054,0.49,1,2.3,0.094,643,0.000017,2,1_2_3,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.77,2.31,10.85,0.634,1.58,-2.14,1.09,-0.11,0.29,0.5,0.02,0.22,0,0,0,1,tran,2011,KOI-70,Lyr
70.02,2.4785,345,58,67.5005,0.0011,3.696125,0.000017,6.2,9.6,0.0209,0.0055,0.85,0.78,1.6,0.046,919,0.000023,2,1_3,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,2.36,2.12,3.7,0.634,1.58,-2.24,-0.15,-0.49,0.3,0.69,0.01,0.26,0,0,0,1,tran,2011,KOI-70,Lyr
70.03,7.238,731,34,97.729,0.01,77.609,0.0063,83.39,0.99,0.02575,0.00033,0.198,0.035,2,0.35,333,0.000019,2,1_2_3,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.21,1.84,77.61,0.634,1.58,-1.61,1.34,0.06,0.32,0.53,0.29,0.4,0,0,0,1,tran,2011,KOI-70,Lyr
70.04,2.7697,68,15,68.93,0.0055,6.09852,0.00014,16,95,0.0079,0.0087,0.4,2.7,0.6,0.064,779,0.000034,2,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.88,0.88,6.1,0.634,1.58,-2.21,-0.36,-1.17,0.28,0.93,0.01,0.3,0,0,0,1,tran,2011,KOI-70,Lyr
72.01,1.82,169,101,64.57364,0.0007,0.8374958,0.0000042,3.609,0.035,0.01211,0.00009,0.029,0.027,1.3,0.018,1790,0.00001,1,1_2_3,1,Hot,Superterran,rocky-iron,metals-rich,non-habitable,2.24,1.79,0.84,0.716,1.77,-2.33,-0.55,-0.94,0.28,0.83,0,0.28,0,0,0,1,tran,2011,KOI-72,Dra
72.02,6.8565,425,74,71.676,0.0021,45.29491,0.00069,35,38,0.0214,0.0042,0.73,0.84,2.3,0.252,478,0.0000081,2,1_2,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.79,45.29,0.716,1.77,-1.9,0.63,-0.19,0.33,0.62,0.12,0.32,0,0,0,1,tran,2011,KOI-72,Dra
75.01,17.4137,1175,165,89.9691,0.0019,105.8885,0.0014,47.1,2.3,0.0362,0.0012,0.01,0.23,4.3,0.449,391,-,2,,,Hot,Jovian,gas,metals-rich,non-habitable,0.74,2.55,105.89,1.616,3.943,-1.98,6.85,0.38,0.12,0.2,0.09,0.15,0,0,0,0,tran,2011,KOI-75,Lyr
82.01,4.139,904,102,67.7519,0.0014,16.14583,0.00012,18.3,6.7,0.0337,0.0025,0.85,0.38,6.8,0.131,786,0.0000056,2,1_2_3_4_5,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.41,1.89,16.15,0.412,1.055,-1.92,0.92,-0.16,0.32,0.56,0.09,0.29,0,0,0,0,tran,2011,KOI-82,Lyr
82.02,3.2778,228,31,67.0745,0.0044,10.312,0.00026,13,30,0.0182,0.0083,0.86,0.92,3.7,0.097,914,0.0000088,2,1_2_3_4_5,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.26,1.3,10.31,0.412,1.055,-2.02,-0.12,-0.73,0.32,0.85,0.05,0.32,0,0,0,0,tran,2011,KOI-82,Lyr
84.01,3.4186,638,141,68.99092,0.00073,9.287047,0.00003,21.25,0.15,0.02349,0.00013,0.0009,-,2.2,0.086,737,0.000042,2,1_2_3,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.79,9.29,0.597,1.482,-2.16,0.61,-0.49,0.3,0.62,0.02,0.26,0,0,0,1,tran,2011,KOI-84,Lyr
85.01,4.0746,300,117,65.0392,0.0012,5.859965,0.000039,7.7,5.7,0.0179,0.0022,0.73,0.69,3.2,0.067,1318,0.000024,2,1_2_3_4,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.84,5.86,1.009,2.436,-2.32,0.75,-0.68,0.28,0.6,0,0.24,0,0,0,0,tran,2011,KOI-85,Lyr
85.02,3.204,91,53,66.5008,0.0019,2.15488,0.000018,4.5,1.3,0.00923,0.00013,0.277,0.083,1.7,0.035,1823,-,4,,,Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,1.21,1.24,2.15,1.009,2.436,-2.36,-0.17,-1.13,0.28,0.88,0,0.29,0,0,0,0,tran,2011,KOI-85,Lyr
85.03,4.2219,95,34,70.9924,0.0035,8.13119,0.00012,7,15,0.0111,0.0039,0.88,0.81,2,0.084,1177,-,4,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.29,1.35,8.13,1.009,2.436,-2.3,-0.08,-0.92,0.29,0.83,0.01,0.29,0,0,0,0,tran,2011,KOI-85,Lyr
87.01,7.5747,443,38,66.6987,0.0033,289.8605,0.0047,311.1,5,0.01956,0.00033,0.02,0.066,2.4,0.877,282,0.000012,2,1_2,,Warm,Superterran,rocky-water,metals-rich,mesoplanet,1.44,1.74,289.86,0.586,1.458,-0.5,0.5,0.4,0.55,0.65,0.96,0.75,0,1,0,1,tran,2011,KOI-87,Cyg
89.01,10.4048,343,35,83.587,0.012,84.6763,0.0075,56,156,0.018,0.01,0.5,1.7,4.4,0.427,756,0.000062,2,1_2_3,,Hot,Neptunian,gas,metals-rich,non-habitable,0.85,2,84.69,3.207,7.491,-2.28,3.42,-0.36,0.19,0.35,0.02,0.17,0,0,0,0,tran,2011,KOI-89,Cyg
89.02,7.424,347,22,222.855,0.005,107.5,0.0097,48,14,0.02241,0.00061,0.86,0.26,5.5,0.501,698,0.000054,2,1,,Hot,Jovian,gas,metals-rich,non-habitable,0.8,2.24,207.6,3.207,7.491,-2.1,4.8,0.06,0.16,0.27,0.07,0.16,0,0,0,0,tran,2011,KOI-89,Cyg
92.01,3.7259,648,39,70.4508,0.0042,65.7008,0.0019,56,17,0.03169,0.00074,0.89,0.27,4.4,0.33,505,0.000008,2,1_2_3,,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.74,65.7,0.825,2.012,-1.84,2.16,-0.17,0.26,0.46,0.16,0.3,0,0,0,0,tran,2011,KOI-92,Lyr
94.01,7.0052,5240,382,65.74223,0.00047,22.34094,0.00065,24.3,4,0.07,0.0024,0.39,0.45,12.6,0.165,851,0.000022,2,1_2_3,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.31,1.38,22.34,1.286,3.103,-2.23,-0.04,-0.8,0.3,0.81,0.02,0.29,0,0,0,0,tran,2011,KOI-94,Cyg
94.02,5.3435,690,34,71.0084,0.0051,10.42361,0.00022,13.73,0.76,0.022,0.051,0.201,0.081,4,0.099,1099,0.000088,2,1_3,,Hot,Neptunian,gas,metals-rich,non-habitable,0.9,1.77,10.42,1.286,3.103,-2.3,2.3,-0.68,0.23,0.45,0.01,0.2,0,0,0,0,tran,2011,KOI-94,Cyg
94.03,9.007,1778,53,94.2397,0.0044,90.5323,0.0017,84.7,4.5,0.0382,0.0016,0.006,0.076,6.9,0.419,534,0.000045,2,1_3,,Hot,Jovian,gas,metals-rich,non-habitable,0.73,2.61,54.32,1.286,3.103,-2.08,7.26,0.32,0.12,0.19,0.06,0.12,0,0,0,0,tran,2011,KOI-94,Cyg
97.01,5.5128,6835,1275,67.27602,0.00013,4.8854906,0.0000024,7.8838,0.0076,0.07784,0.00007,-,-,11,0.059,1226,0.000013,1,,1,Hot,Jovian,gas,metals-rich,non-habitable,0.42,2.76,4.89,1.4,3.415,-2.33,15.15,-0.31,0.06,0.1,0,0.05,0,0,0,1,tran,2011,KOI-97,Lyr
98.01,6.8561,2120,478,71.08749,0.00048,6.790119,0.000019,8.004903,0.000022,0.0534,0.0094,0.0001,-,12.1,0.077,1528,0.000009,2,1_2_3,,Hot,Jovian,gas,hydrogen-rich,non-habitable,16.46,14.48,6.79,1.463,3.501,-2.36,11.88,6.07,0.07,0.15,0,0.07,0,0,0,1,tran,2011,KOI-98,Lyr
100.01,4.5162,1388,95,74.1515,0.0016,9.966512,0.000092,7.8,2.3,0.04475,0.00052,0.88,0.26,13.6,0.101,1493,0.000031,3,1_3,1,Hot,Jovian,gas,metals-rich,non-habitable,0.63,3.46,9.97,3.041,7.22,-2.4,15.14,-0.04,0.06,0.1,0,0.05,0,0,0,0,tran,2011,KOI-100,Lyr
102.01,2.4232,860,240,68.05961,0.00042,1.7351339,0.0000041,4,1.8,0.0303,0.0024,0.76,0.52,6.9,0.03,2175,0.000058,2,1_2_3,1,Hot,Neptunian,gas,metals-rich,non-habitable,0.9,1.8,1.74,0.825,2.02,-2.33,2.45,-0.85,0.22,0.43,0,0.19,0,0,0,0,tran,2011,KOI-102,Cyg
103.01,3.4297,737,72,74.3331,0.0015,14.91155,0.00013,36.15,0.44,0.02642,0.00024,0.025,0.027,2.3,0.119,628,0.000048,2,1_2_3,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.09,1.79,14.91,0.663,1.647,-2.11,1.59,-0.42,0.27,0.51,0.03,0.23,0,0,0,0,tran,2011,KOI-103,Cyg
104.01,1.2727,1082,68,67.99798,0.0007,2.508091,0.000013,16,11,0.035,0.0048,0.45,0.86,2.8,0.032,927,0.0000084,2,1_2_3,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.82,2.51,0.261,0.688,-2.08,0.71,-0.5,0.31,0.6,0.02,0.25,0,0,0,0,tran,2011,KOI-104,Lyr
105.01,2.3693,997,114,69.6502,0.0014,8.98092,0.000096,12.2,3.6,0.0394,0.00059,0.91,0.27,8.1,0.09,1100,0.000044,2,1,,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.75,8.98,0.692,1.71,-2.2,2.18,-0.58,0.24,0.46,0.02,0.21,0,0,0,0,tran,2011,KOI-105,Cyg
107.01,4.8694,427,91,67.0215,0.0015,7.257003,0.000062,11.608,0.094,0.01932,0.00014,0.009,0.017,2.1,0.075,943,0.000026,2,1,,Hot,Neptunian,water-gas,metals-rich,non-habitable,0.99,1.75,7.26,0.994,2.427,-2.28,1.85,-0.69,0.25,0.49,0.01,0.21,0,0,0,0,tran,2011,KOI-107,Cyg
108.01,4.521,465,79,75.1762,0.0016,15.96534,0.00016,22,28,0.0211,0.0047,0.6,1.1,2.7,0.128,777,0.00003,2,1_2_3,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.1,1.8,15.97,0.963,2.345,-2.21,1.58,-0.5,0.27,0.51,0.02,0.22,0,0,0,0,tran,2011,KOI-108,Lyr
110.01,3.9364,481,98,68.2136,0.0013,9.94075,0.000079,13,12,0.0229,0.0034,0.74,0.76,2.9,0.095,985,0.000015,2,1,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.06,1.78,9.94,1.129,2.689,-2.32,1.68,-0.65,0.25,0.5,0.01,0.21,0,0,0,0,tran,2011,KOI-110,Lyr
111.01,4.5716,466,84,70.6135,0.0015,11.427514,0.000074,14,14,0.0222,0.0038,0.72,0.82,2.5,0.102,814,0.000021,2,1_2_3,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.76,11.43,0.684,1.684,-2.18,0.54,-0.53,0.3,0.64,0.02,0.26,0,0,0,0,tran,2011,KOI-111,Lyr
111.02,5.7168,420,65,65.7105,0.0022,23.6686,0.00022,28,40,0.0203,0.0052,0.5,1.2,2.3,0.166,638,0.000021,2,1,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.72,23.67,0.684,1.684,-2.07,0.46,-0.4,0.32,0.66,0.05,0.29,0,0,0,0,tran,2011,KOI-111,Lyr
112.01,6.3832,697,67,118.1798,0.0018,51.07943,0.00063,40,29,0.0276,0.0033,0.78,0.63,3.7,0.279,539,0.000022,3,2_3,1,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.16,1.82,51.08,0.761,1.862,-1.89,1.44,-0.14,0.3,0.52,0.13,0.3,0,0,0,0,tran,2011,KOI-112,Cyg
112.02,2.5592,109,24,66.9837,0.0036,3.709209,0.000057,6,20,0.0128,0.0079,0.9,1,1.7,0.048,1300,-,4,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.17,1.18,3.71,0.761,1.862,-2.3,-0.21,-1.07,0.28,0.91,0,0.29,0,0,0,0,tran,2011,KOI-112,Cyg
115.01,2.9014,548,96,66.1414,0.0011,5.412245,0.000032,13,19,0.0231,0.006,0.5,1.2,3.4,0.063,1260,0.000016,2,1_2,,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.75,5.41,1.212,2.902,-2.36,2.21,-0.79,0.23,0.46,0,0.2,0,0,0,0,tran,2011,KOI-115,Lyr
115.02,2.7875,177,28,72.0079,0.0042,7.12575,0.00017,11,41,0.0151,0.0088,0.9,1.2,2.2,0.076,1147,0.000021,2,1,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.65,7.13,1.212,2.902,-2.34,0.33,-0.8,0.29,0.69,0,0.26,0,0,0,0,tran,2011,KOI-115,Lyr
116.01,3.5494,434,43,69.2763,0.003,13.57096,0.00023,21,42,0.0227,0.0078,0.8,1.1,4.7,0.119,1057,0.000081,2,1_2_3,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.87,13.57,0.801,1.96,-2.19,0.85,-0.44,0.29,0.58,0.02,0.25,0,0,0,0,tran,2011,KOI-116,Cyg
116.02,6.7062,554,44,84.9344,0.0044,43.8448,0.0013,54.1,0.84,0.02306,0.00033,0.021,0.025,4.8,0.26,715,0.000079,2,1,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.89,43.84,0.801,1.96,-1.96,0.9,-0.15,0.32,0.57,0.1,0.29,0,0,0,0,tran,2011,KOI-116,Cyg
117.01,6.128,366,68,71.7751,0.003,14.74942,0.00025,8.8,3,0.0219,0.0012,0.89,0.32,2.4,0.12,729,0.000044,2,1_2_3,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.11,1.8,14.75,0.932,2.272,-2.2,1.56,-0.5,0.27,0.51,0.02,0.22,0,0,0,0,tran,2011,KOI-117,Cyg
117.02,4.0855,108,29,71.6097,0.0052,4.90134,0.00015,5,13,0.0121,0.0052,0.87,0.98,1.3,0.058,1048,0.000061,3,1_2,1,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.4,1.55,4.9,0.932,2.272,-2.3,0.16,-0.85,0.29,0.74,0,0.27,0,0,0,0,tran,2011,KOI-117,Cyg
117.03,3.349,104,33,66.5106,0.0039,3.17985,0.000052,3.9,9.8,0.0118,0.0048,0.8,1,1.3,0.043,1217,0.000058,3,1_2,1,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.36,1.47,3.18,0.932,2.272,-2.32,0.05,-0.96,0.28,0.78,0,0.28,0,0,0,0,tran,2011,KOI-117,Cyg
117.04,4.167,40,8.8,70.838,0.014,7.9572,0.00051,11.11552,0.00071,0.0062,-,0.6594,-,0.7,0.08,892,-,4,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.07,1.08,7.96,0.932,2.272,-2.27,-0.28,-1.07,0.28,0.96,0.01,0.3,0,0,0,0,tran,2011,KOI-117,Cyg
118.01,5.7166,239,36,71.6798,0.0044,24.99348,0.0006,17,22,0.0172,0.0036,0.86,0.68,1.8,0.17,590,0.00003,2,2,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.39,1.54,24.99,0.725,1.771,-2.07,0.14,-0.53,0.32,0.74,0.06,0.31,0,0,0,0,tran,2011,KOI-118,Lyr
119.01,11.2962,1455,144,74.9125,0.0016,49.18381,0.00044,34.44916,0.00031,0.035,0.018,0.0009,-,3.9,0.264,462,0.000023,3,1,1,Hot,Neptunian,gas,metals-rich,non-habitable,0.88,1.86,49.18,0.674,1.666,-1.85,2.7,-0.09,0.23,0.41,0.15,0.27,0,0,0,0,tran,2011,KOI-119,Cyg
122.01,3.9263,469,89,64.9714,0.0013,11.522904,0.000062,22.89,0.21,0.02023,0.00016,0.0038,-,1.9,0.101,716,0.000013,2,1_2_3,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.23,1.85,11.52,0.802,1.975,-2.19,1.3,-0.48,0.28,0.53,0.02,0.23,0,0,0,0,tran,2011,KOI-122,Lyr
123.01,3.6301,270,66,55.9766,0.0017,6.481654,0.000047,11,14,0.0166,0.0039,0.6,1.1,2.3,0.071,1091,0.000036,2,1_2_3_4,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.36,1.9,6.48,1.104,2.699,-2.3,1.05,-0.66,0.28,0.55,0,0.23,0,0,0,0,tran,2011,KOI-123,Lyr
123.02,6.451,336,65,70.5763,0.0024,21.22222,0.00023,19,25,0.0183,0.0042,0.7,1,2.5,0.155,739,0.000034,2,1_4,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.29,1.87,21.22,1.104,2.699,-2.19,1.17,-0.44,0.28,0.54,0.02,0.24,0,0,0,0,tran,2011,KOI-123,Lyr
124.01,3.8682,205,32,70.1234,0.0039,12.69116,0.00029,14,32,0.0161,0.0057,0.85,0.95,2.3,0.111,926,0.000025,2,1_2,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.05,1.78,12.69,1.23,3.004,-2.26,1.7,-0.64,0.26,0.5,0.01,0.21,0,0,0,0,tran,2011,KOI-124,Cyg
124.02,5.0544,324,39,75.822,0.0038,31.71954,0.00071,28,46,0.0196,0.005,0.84,0.84,2.8,0.205,681,0.000022,2,1,,Hot,Neptunian,gas,metals-rich,non-habitable,0.9,1.8,31.72,1.23,3.004,-2.16,2.41,-0.45,0.23,0.44,0.03,0.21,0,0,0,0,tran,2011,KOI-124,Cyg
127.01,2.9074,10776,1078,67.02957,0.0001,3.5787781,0.000002,10.33,0.01,0.09665,0.00007,0.0038,-,9.7,0.046,1098,0.000014,2,1_2,,Hot,Jovian,gas,metals-rich,non-habitable,0.71,2.78,3.58,0.768,1.891,-2.29,8.57,-0.17,0.1,0.17,0,0.08,0,0,0,0,tran,2011,KOI-127,Cyg
128.01,3.5022,10407,1191,69.32863,0.00024,4.9427813,0.000002,12.11,0.93,0.10066,0.00052,0.58,0.16,15.7,0.059,1240,0.000011,2,1,,Hot,Jovian,gas,metals-rich,non-habitable,1.81,4.41,4.94,0.82,2.013,-2.28,7.19,0.85,0.12,0.17,0.01,0.08,0,0,0,1,tran,2011,KOI-128,Cyg
131.01,4.6736,6399,458,66.17565,0.00071,5.014177,0.000021,8.885,0.017,0.07492,0.00012,0.0008,-,9,0.06,1181,-,3,,1,Hot,Jovian,gas,metals-rich,non-habitable,0.74,2.58,5.01,1.018,2.437,-2.35,7.01,-0.31,0.12,0.2,0,0.1,0,0,0,0,tran,2011,KOI-131,Cyg
135.01,2.7842,7318,766,65.41537,0.00014,3.0241018,0.0000017,8.998787,0.000005,0.0795,0.0074,0.0089,-,8.3,0.042,1250,0.0000093,2,1,1,Hot,Jovian,gas,metals-rich,non-habitable,0.71,2.74,3.02,0.986,2.391,-2.34,8.27,-0.31,0.1,0.17,0,0.08,0,0,0,1,tran,2011,KOI-135,Lyr
137.01,3.5437,2170,155,68.40567,0.00078,7.641577,0.000023,17.82,0.11,0.04345,0.00022,0.027,0.02,6,0.077,949,0.000062,2,1_2_3_4,,Hot,Neptunian,gas,metals-rich,non-habitable,0.57,1.77,7.64,0.648,1.619,-2.18,4.76,-0.56,0.16,0.31,0.02,0.15,0,0,0,1,tran,2011,KOI-137,Cyg
137.02,3.7766,3025,297,61.15248,0.00045,14.859006,0.000025,19.3,2.1,0.0616,0.0013,0.84,0.21,8.6,0.12,760,0.000048,2,1_4,,Hot,Jovian,gas,metals-rich,non-habitable,0.34,1.54,14.86,0.648,1.619,-2.09,7.06,-0.59,0.12,0.25,0.04,0.14,0,0,0,1,tran,2011,KOI-137,Cyg
137.03,2.0761,248,38,66.5071,0.0022,3.50472,0.000029,8,26,0.0167,0.0093,0.8,1.3,2.3,0.046,1228,-,4,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.71,1.85,3.5,0.648,1.619,-2.24,0.24,-0.66,0.3,0.67,0.01,0.26,0,0,0,1,tran,2011,KOI-137,Cyg
