P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Gravity (EU),P. Esc Vel (EU),P. Period (days),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
2503.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.04,1.77,14.82,1.235,3.166,-2.16,1.72,-0.61,0.26,0.5,0.01,0.22,0,0,0,0,tran,2012
2504.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.78,20.49,0.579,1.441,-2,0.6,-0.3,0.32,0.62,0.07,0.29,0,0,0,0,tran,2012
2506.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.6,17.36,0.879,2.127,-2.19,0.23,-0.61,0.3,0.71,0.03,0.28,0,0,0,0,tran,2012
2507.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.78,11.13,0.813,1.967,-2.23,0.6,-0.55,0.3,0.62,0.02,0.26,0,0,0,0,tran,2012
2508.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.4,1.55,7.1,0.54,1.344,-2.17,0.16,-0.68,0.31,0.74,0.02,0.28,0,0,0,0,tran,2012
2509.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.03,1.03,4.55,0.486,1.222,-2.19,-0.3,-1.07,0.29,0.99,0.01,0.3,0,0,0,0,tran,2012
2512.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,0.61,3.66,15.92,0.571,1.415,-2.07,17.68,1.07,0.05,0.09,0.05,0.07,0,0,0,0,tran,2012
2513.01,Hot,Jovian,gas,metals-rich,non-habitable,0.69,2.94,19.01,0.978,2.344,-2.22,9.91,0.32,0.09,0.15,0.02,0.08,0,0,0,0,tran,2012
2516.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.19,1.22,2.81,1.137,2.833,-2.3,-0.19,-1.14,0.28,0.89,0,0.29,0,0,0,0,tran,2012
2517.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.2,1.22,0.97,0.781,1.904,-2.36,-0.18,-1.19,0.27,0.89,0,0.29,0,0,0,0,tran,2012
2519.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.84,2.05,4.79,0.269,0.703,-2.02,3.69,-0.21,0.19,0.33,0.04,0.17,0,0,0,0,tran,2012
2520.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.23,1.27,6.49,0.342,0.881,-2.04,-0.15,-0.8,0.31,0.87,0.04,0.31,0,0,0,0,tran,2012
2521.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.74,28.48,0.412,1.045,-1.75,0.5,-0.13,0.35,0.65,0.2,0.38,0,0,0,0,tran,2012
2521.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.26,1.3,4.87,0.412,1.045,-2.13,-0.12,-0.84,0.3,0.85,0.02,0.3,0,0,0,0,tran,2012
2522.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1,1,5.6,0.382,0.98,-2.09,-0.31,-1.03,0.3,1,0.02,0.31,0,0,0,0,tran,2012
2523.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.63,13.03,0.552,1.382,-2.07,0.29,-0.5,0.32,0.7,0.04,0.29,0,0,0,0,tran,2012
2524.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.64,40.99,0.954,2.288,-2.06,0.31,-0.42,0.32,0.69,0.07,0.31,0,0,0,0,tran,2012
2525.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.62,57.29,0.356,0.915,-1.35,0.28,-0.03,0.42,0.7,0.48,0.58,0,0,0,0,tran,2012
2527.01,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.55,0.56,1.39,0.266,0.698,-2.14,-0.42,-1.39,0.28,0.73,0.01,0.27,0,0,0,0,tran,2012
2528.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.82,2.11,12.02,0.746,1.815,-2.2,4.03,-0.28,0.18,0.31,0.02,0.15,0,0,0,0,tran,2012
2529.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.41,1.58,16.8,0.273,0.713,-1.74,0.21,-0.29,0.36,0.72,0.19,0.39,0,0,0,0,tran,2012
2530.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.37,1.49,37.33,0.904,2.188,-2.06,0.08,-0.55,0.32,0.77,0.06,0.32,0,0,0,0,tran,2012
2531.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.74,17.7,0.375,0.971,-1.85,0.5,-0.23,0.34,0.65,0.12,0.33,0,0,0,0,tran,2012
2532.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.38,1.5,7.97,0.447,1.133,-2.1,0.09,-0.65,0.31,0.76,0.03,0.29,0,0,0,0,tran,2012
2533.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,0.98,1.74,6.03,1.873,4.729,-2.26,1.89,-0.85,0.25,0.49,0,0.21,0,0,0,0,tran,2012
2534.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.13,1.14,3.03,0.861,2.078,-2.34,-0.24,-1.13,0.28,0.93,0,0.29,0,0,0,0,tran,2012
2534.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.1,1.1,5.42,0.861,2.078,-2.31,-0.26,-1.09,0.28,0.95,0.01,0.3,0,0,0,0,tran,2012
2535.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.37,1.48,48.89,0.402,1.026,-1.54,0.07,-0.26,0.39,0.77,0.34,0.51,0,0,0,0,tran,2012
2536.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.3,1.88,51.13,0.913,2.216,-1.98,1.16,-0.17,0.3,0.54,0.09,0.28,0,0,0,0,tran,2012
2538.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.74,39.83,0.44,1.111,-1.68,2.14,-0.09,0.27,0.47,0.24,0.34,0,0,0,0,tran,2012
2541.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.76,7.42,1.506,3.797,-2.25,0.56,-0.78,0.29,0.63,0,0.25,0,0,0,0,tran,2012
2542.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.02,1.02,0.73,0.162,0.436,-2.08,-0.3,-1.11,0.3,0.99,0.01,0.3,0,0,0,0,tran,2012
2543.01,Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,1.27,1.31,1.3,0.442,1.12,-2.24,-0.11,-1.03,0.29,0.85,0,0.29,0,0,0,0,tran,2012
2544.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.82,28.63,0.611,1.508,-1.96,0.69,-0.22,0.32,0.61,0.09,0.3,0,0,0,0,tran,2012
2545.01,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.78,0.78,6.98,1.099,2.638,-2.33,-0.39,-1.28,0.27,0.88,0.01,0.29,0,0,0,0,tran,2012
2547.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.36,1.46,8.94,0.925,2.238,-2.28,0.04,-0.82,0.29,0.78,0.01,0.28,0,0,0,0,tran,2012
2548.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.93,0.93,0.83,0.362,0.935,-2.21,-0.34,-1.24,0.28,0.96,0,0.29,0,0,0,0,tran,2012
2550.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.63,18.02,0.727,1.773,-2.13,0.29,-0.52,0.31,0.7,0.04,0.29,0,0,0,0,tran,2012
2551.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.4,1.54,16.48,0.376,0.965,-1.9,0.15,-0.43,0.34,0.74,0.1,0.34,0,0,0,0,tran,2012
2552.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.18,1.2,3.66,0.901,2.167,-2.35,-0.2,-1.08,0.28,0.9,0,0.29,0,0,0,0,tran,2012
2553.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.69,88.07,0.409,1.039,-1.16,0.4,0.13,0.45,0.67,0.63,0.65,0,0,0,0,tran,2012
2554.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.79,39.76,0.301,0.781,-1.43,0.63,0.11,0.39,0.62,0.42,0.51,0,0,0,0,tran,2012
2554.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.03,1.03,10.27,0.301,0.781,-1.92,-0.3,-0.89,0.32,0.99,0.08,0.35,0,0,0,0,tran,2012
2555.01,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.15,1.17,12.57,1.094,2.61,-2.29,-0.22,-0.99,0.28,0.92,0.01,0.3,0,0,0,0,tran,2012
2556.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.27,1.32,40.84,0.639,1.571,-1.88,-0.1,-0.58,0.34,0.84,0.14,0.38,0,0,0,0,tran,2012
2559.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1,1,9.31,0.815,1.971,-2.25,-0.31,-1.08,0.28,1,0.01,0.3,0,0,0,0,tran,2012
2560.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.24,1.85,18.12,0.473,1.218,-1.92,1.28,-0.21,0.3,0.53,0.09,0.27,0,0,0,0,tran,2012
2561.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.07,1.08,3.24,0.811,1.965,-2.33,-0.28,-1.15,0.28,0.96,0,0.29,0,0,0,0,tran,2012
2563.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.3,1.36,23.48,1.04,2.49,-2.2,-0.06,-0.76,0.3,0.82,0.03,0.3,0,0,0,0,tran,2012
2564.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.33,1.41,66.56,0.897,2.16,-1.89,-0.02,-0.5,0.34,0.8,0.14,0.38,0,0,0,0,tran,2012
