P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Gravity (EU),P. Esc Vel (EU),P. Period (days),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
1.01,Hot,Jovian,gas,metals-rich,non-habitable,0.67,3.1,2.47,0.804,1.972,-2.32,11.36,-0.12,0.08,0.13,0,0.06,0,0,0,1,tran,2011
2.01,Hot,Jovian,gas,metals-rich,non-habitable,2.25,5.99,2.2,2.345,5.641,-2.4,11.75,0.69,0.08,0.12,0,0.06,0,0,0,1,tran,2011
3.01,Hot,Neptunian,gas,metals-rich,non-habitable,1,2.25,4.89,0.394,1.015,-2.1,3.46,-0.18,0.2,0.33,0.02,0.16,0,0,0,1,tran,2011
5.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.82,2.15,4.78,1.093,2.674,-2.31,4.26,-0.57,0.17,0.3,0,0.14,0,0,0,0,tran,2011
5.02,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.65,0.65,7.05,1.093,2.674,-2.29,-0.41,-1.35,0.27,0.8,0.01,0.28,0,0,0,0,tran,2011
7.01,Hot,Neptunian,gas,metals-rich,non-habitable,1.53,2.47,3.21,0.976,2.389,-2.32,2.05,-0.45,0.24,0.4,0,0.18,0,0,0,1,tran,2011
10.01,Hot,Jovian,gas,metals-rich,non-habitable,0.76,3.47,3.52,1.26,3.062,-2.35,12.35,-0.01,0.07,0.12,0,0.06,0,0,0,1,tran,2011
12.01,Hot,Jovian,gas,metals-rich,non-habitable,0.68,3.01,17.86,1.341,3.182,-2.3,10.55,0.2,0.08,0.14,0.01,0.07,0,0,0,0,tran,2011
13.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,9.14,13.69,1.76,4.753,11.102,-2.49,23.9,2.83,0.04,0.09,0,0.05,0,0,0,1,tran,2011
17.01,Hot,Jovian,gas,metals-rich,non-habitable,0.97,3.79,3.23,0.824,2.019,-2.3,11.16,0.33,0.08,0.13,0,0.06,0,0,0,1,tran,2011
18.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,2.61,6.47,3.55,1.764,4.238,-2.38,11.95,1.28,0.08,0.12,0,0.06,0,0,0,1,tran,2011
20.01,Hot,Jovian,gas,metals-rich,non-habitable,0.38,2.69,4.44,1.11,2.699,-2.33,16.1,-0.3,0.06,0.1,0,0.05,0,0,0,1,tran,2011
22.01,Hot,Jovian,gas,metals-rich,non-habitable,0.7,2.82,7.89,0.884,2.154,-2.27,8.84,0.01,0.1,0.16,0.01,0.08,0,0,0,0,tran,2011
41.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.73,12.82,0.96,2.345,-2.23,0.48,-0.59,0.3,0.65,0.01,0.26,0,0,0,0,tran,2011
41.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.19,1.22,6.89,0.96,2.345,-2.28,-0.19,-1.01,0.29,0.89,0.01,0.29,0,0,0,0,tran,2011
41.03,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.29,1.34,35.33,0.96,2.345,-2.07,-0.08,-0.69,0.31,0.83,0.06,0.32,0,0,0,0,tran,2011
42.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.29,1.87,17.83,1.146,2.767,-2.24,1.17,-0.48,0.28,0.54,0.02,0.23,0,0,0,0,tran,2011
44.01,Hot,Jovian,gas,metals-rich,non-habitable,0.73,2.64,66.47,0.604,1.504,-1.67,7.51,0.79,0.11,0.19,0.25,0.22,0,0,0,0,tran,2011
46.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.86,1.93,3.49,0.826,2.029,-2.29,3.09,-0.66,0.2,0.38,0,0.17,0,0,0,0,tran,2011
46.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.96,0.96,6.03,0.826,2.029,-2.26,-0.33,-1.15,0.28,0.98,0.01,0.3,0,0,0,0,tran,2011
49.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.92,1.73,8.31,0.818,1.997,-2.25,2.08,-0.63,0.24,0.47,0.01,0.21,0,0,0,0,tran,2011
51.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,0.69,2.93,10.43,0.069,0.19,-1.22,9.83,1.47,0.09,0.15,0.61,0.34,0,0,0,0,tran,2011
63.01,Hot,Jovian,gas,metals-rich,non-habitable,0.8,2.24,9.43,0.732,1.803,-2.2,4.81,-0.24,0.16,0.27,0.02,0.14,0,0,0,0,tran,2011
69.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.33,1.41,4.73,0.617,1.528,-2.24,-0.01,-0.86,0.29,0.8,0.01,0.28,0,0,0,0,tran,2011
70.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.77,2.31,10.85,0.634,1.58,-2.14,1.09,-0.11,0.29,0.5,0.02,0.22,0,0,0,1,tran,2011
70.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,2.36,2.12,3.7,0.634,1.58,-2.24,-0.15,-0.49,0.3,0.69,0.01,0.26,0,0,0,1,tran,2011
70.03,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.21,1.84,77.61,0.634,1.58,-1.61,1.34,0.06,0.32,0.53,0.29,0.4,0,0,0,1,tran,2011
70.04,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.88,0.88,6.1,0.634,1.58,-2.21,-0.36,-1.17,0.28,0.93,0.01,0.3,0,0,0,1,tran,2011
70.05,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.01,1.01,19.58,0.634,1.58,-2.05,-0.31,-0.95,0.3,1,0.05,0.33,0,0,0,1,tran,2011
72.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,2.24,1.79,0.84,0.716,1.77,-2.33,-0.55,-0.94,0.28,0.83,0,0.28,0,0,0,1,tran,2011
72.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.79,45.29,0.716,1.77,-1.9,0.63,-0.19,0.33,0.62,0.12,0.32,0,0,0,1,tran,2011
75.01,Hot,Jovian,gas,metals-rich,non-habitable,0.74,2.55,105.89,1.616,3.943,-1.98,6.85,0.38,0.12,0.2,0.09,0.15,0,0,0,0,tran,2011
82.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.41,1.89,16.15,0.412,1.055,-1.92,0.92,-0.16,0.32,0.56,0.09,0.29,0,0,0,0,tran,2011
82.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.26,1.3,10.31,0.412,1.055,-2.02,-0.12,-0.73,0.32,0.85,0.05,0.32,0,0,0,0,tran,2011
82.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.07,1.08,27.45,0.412,1.055,-1.77,-0.28,-0.76,0.34,0.96,0.18,0.42,0,0,0,0,tran,2011
82.04,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.68,0.69,7.07,0.412,1.055,-2.08,-0.41,-1.23,0.29,0.82,0.03,0.3,0,0,0,0,tran,2011
82.05,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.53,0.53,5.29,0.412,1.055,-2.11,-0.44,-1.36,0.28,0.7,0.02,0.28,0,0,0,0,tran,2011
84.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.79,9.29,0.597,1.482,-2.16,0.61,-0.49,0.3,0.62,0.02,0.26,0,0,0,1,tran,2011
85.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.84,5.86,1.009,2.436,-2.32,0.75,-0.68,0.28,0.6,0,0.24,0,0,0,0,tran,2011
85.02,Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,1.21,1.24,2.15,1.009,2.436,-2.36,-0.17,-1.13,0.28,0.88,0,0.29,0,0,0,0,tran,2011
85.03,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.29,1.35,8.13,1.009,2.436,-2.3,-0.08,-0.92,0.29,0.83,0.01,0.29,0,0,0,0,tran,2011
87.01,Warm,Superterran,rocky-water,metals-rich,mesoplanet,1.44,1.74,289.86,0.586,1.458,-0.5,0.5,0.4,0.55,0.65,0.96,0.75,0,1,0,1,tran,2011
89.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.85,2,84.69,3.207,7.491,-2.28,3.42,-0.36,0.19,0.35,0.02,0.17,0,0,0,0,tran,2011
89.02,Hot,Jovian,gas,metals-rich,non-habitable,0.8,2.24,207.6,3.207,7.491,-2.1,4.8,0.06,0.16,0.27,0.07,0.16,0,0,0,0,tran,2011
92.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.74,65.7,0.825,2.012,-1.84,2.16,-0.17,0.26,0.46,0.16,0.3,0,0,0,0,tran,2011
94.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.31,1.38,22.34,1.286,3.103,-2.23,-0.04,-0.8,0.3,0.81,0.02,0.29,0,0,0,0,tran,2011
94.02,Hot,Neptunian,gas,metals-rich,non-habitable,0.9,1.77,10.42,1.286,3.103,-2.3,2.3,-0.68,0.23,0.45,0.01,0.2,0,0,0,0,tran,2011
94.03,Hot,Jovian,gas,metals-rich,non-habitable,0.73,2.61,54.32,1.286,3.103,-2.08,7.26,0.32,0.12,0.19,0.06,0.12,0,0,0,0,tran,2011
94.04,Hot,Neptunian,gas,metals-rich,non-habitable,0.82,2.12,3.74,1.286,3.103,-2.36,4.11,-0.67,0.17,0.31,0,0.14,0,0,0,0,tran,2011
97.01,Hot,Jovian,gas,metals-rich,non-habitable,0.42,2.76,4.89,1.4,3.415,-2.33,15.15,-0.31,0.06,0.1,0,0.05,0,0,0,1,tran,2011
98.01,Hot,Jovian,gas,hydrogen-rich,non-habitable,16.46,14.48,6.79,1.463,3.501,-2.36,11.88,6.07,0.07,0.15,0,0.07,0,0,0,1,tran,2011
99.01,Cold,Neptunian,gas,metals-rich,non-habitable,0.91,1.76,579.93,0.406,1.033,1.64,2.23,0.91,0.26,0.45,0.31,0.38,0,0,0,0,tran,2011
100.01,Hot,Jovian,gas,metals-rich,non-habitable,0.63,3.46,9.97,3.041,7.22,-2.4,15.14,-0.04,0.06,0.1,0,0.05,0,0,0,0,tran,2011
102.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.9,1.8,1.74,0.825,2.02,-2.33,2.45,-0.85,0.22,0.43,0,0.19,0,0,0,0,tran,2011
102.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.16,1.17,4.07,0.825,2.02,-2.29,-0.22,-1.07,0.28,0.91,0,0.29,0,0,0,0,tran,2011
103.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.09,1.79,14.91,0.663,1.647,-2.11,1.59,-0.42,0.27,0.51,0.03,0.23,0,0,0,0,tran,2011
104.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.82,2.51,0.261,0.688,-2.08,0.71,-0.5,0.31,0.6,0.02,0.25,0,0,0,0,tran,2011
105.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.75,8.98,0.692,1.71,-2.2,2.18,-0.58,0.24,0.46,0.02,0.21,0,0,0,0,tran,2011
107.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,0.99,1.75,7.26,0.994,2.427,-2.28,1.85,-0.69,0.25,0.49,0.01,0.21,0,0,0,0,tran,2011
108.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.1,1.8,15.97,0.963,2.345,-2.21,1.58,-0.5,0.27,0.51,0.02,0.22,0,0,0,0,tran,2011
108.02,Hot,Neptunian,gas,metals-rich,non-habitable,0.86,1.96,179.6,0.963,2.345,-1.45,3.21,0.27,0.22,0.37,0.41,0.39,0,0,0,0,tran,2011
110.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.06,1.78,9.94,1.129,2.689,-2.32,1.68,-0.65,0.25,0.5,0.01,0.21,0,0,0,0,tran,2011
111.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.76,11.43,0.684,1.684,-2.18,0.54,-0.53,0.3,0.64,0.02,0.26,0,0,0,0,tran,2011
111.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.72,23.67,0.684,1.684,-2.07,0.46,-0.4,0.32,0.66,0.05,0.29,0,0,0,0,tran,2011
111.03,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.84,51.76,0.684,1.684,-1.86,0.75,-0.11,0.33,0.6,0.14,0.33,0,0,0,0,tran,2011
112.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.16,1.82,51.08,0.761,1.862,-1.89,1.44,-0.14,0.3,0.52,0.13,0.3,0,0,0,0,tran,2011
112.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.17,1.18,3.71,0.761,1.862,-2.3,-0.21,-1.07,0.28,0.91,0,0.29,0,0,0,0,tran,2011
113.01,Warm,Jovian,gas,hydrogen-rich,non-habitable,0.46,6.2,386.59,1.011,2.514,-0.93,99.44,5.37,0.01,0.02,0.78,0.29,0,0,1,0,tran,2011
115.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.75,5.41,1.212,2.902,-2.36,2.21,-0.79,0.23,0.46,0,0.2,0,0,0,0,tran,2011
115.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.65,7.13,1.212,2.902,-2.34,0.33,-0.8,0.29,0.69,0,0.26,0,0,0,0,tran,2011
115.03,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,0.63,0.63,3.44,1.212,2.902,-2.38,-0.42,-1.41,0.26,0.78,0,0.28,0,0,0,0,tran,2011
116.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.87,13.57,0.801,1.96,-2.19,0.85,-0.44,0.29,0.58,0.02,0.25,0,0,0,0,tran,2011
116.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.89,43.84,0.801,1.96,-1.96,0.9,-0.15,0.32,0.57,0.1,0.29,0,0,0,0,tran,2011
116.03,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.81,0.81,6.17,0.801,1.96,-2.27,-0.38,-1.24,0.28,0.9,0.01,0.29,0,0,0,0,tran,2011
116.04,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,0.93,0.93,23.98,0.801,1.96,-2.1,-0.34,-1.02,0.3,0.96,0.05,0.32,0,0,0,0,tran,2011
117.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.11,1.8,14.75,0.932,2.272,-2.2,1.56,-0.5,0.27,0.51,0.02,0.22,0,0,0,0,tran,2011
117.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.4,1.55,4.9,0.932,2.272,-2.3,0.16,-0.85,0.29,0.74,0,0.27,0,0,0,0,tran,2011
117.03,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.36,1.47,3.18,0.932,2.272,-2.32,0.05,-0.96,0.28,0.78,0,0.28,0,0,0,0,tran,2011
117.04,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.07,1.08,7.96,0.932,2.272,-2.27,-0.28,-1.07,0.28,0.96,0.01,0.3,0,0,0,0,tran,2011
118.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.39,1.54,24.99,0.725,1.771,-2.07,0.14,-0.53,0.32,0.74,0.06,0.31,0,0,0,0,tran,2011
119.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.88,1.86,49.18,0.674,1.666,-1.85,2.7,-0.09,0.23,0.41,0.15,0.27,0,0,0,0,tran,2011
119.02,Hot,Neptunian,gas,metals-rich,non-habitable,0.91,1.76,190.31,0.674,1.666,-1.11,2.23,0.22,0.29,0.45,0.65,0.54,0,0,0,0,tran,2011
122.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.23,1.85,11.52,0.802,1.975,-2.19,1.3,-0.48,0.28,0.53,0.02,0.23,0,0,0,0,tran,2011
123.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.36,1.9,6.48,1.104,2.699,-2.3,1.05,-0.66,0.28,0.55,0,0.23,0,0,0,0,tran,2011
123.02,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.29,1.87,21.22,1.104,2.699,-2.19,1.17,-0.44,0.28,0.54,0.02,0.24,0,0,0,0,tran,2011
124.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.05,1.78,12.69,1.23,3.004,-2.26,1.7,-0.64,0.26,0.5,0.01,0.21,0,0,0,0,tran,2011
124.02,Hot,Neptunian,gas,metals-rich,non-habitable,0.9,1.8,31.72,1.23,3.004,-2.16,2.41,-0.45,0.23,0.44,0.03,0.21,0,0,0,0,tran,2011
127.01,Hot,Jovian,gas,metals-rich,non-habitable,0.71,2.78,3.58,0.768,1.891,-2.29,8.57,-0.17,0.1,0.17,0,0.08,0,0,0,0,tran,2011
128.01,Hot,Jovian,gas,metals-rich,non-habitable,1.81,4.41,4.94,0.82,2.013,-2.28,7.19,0.85,0.12,0.17,0.01,0.08,0,0,0,1,tran,2011
131.01,Hot,Jovian,gas,metals-rich,non-habitable,0.74,2.58,5.01,1.018,2.437,-2.35,7.01,-0.31,0.12,0.2,0,0.1,0,0,0,0,tran,2011
135.01,Hot,Jovian,gas,metals-rich,non-habitable,0.71,2.74,3.02,0.986,2.391,-2.34,8.27,-0.31,0.1,0.17,0,0.08,0,0,0,1,tran,2011
137.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.57,1.77,7.64,0.648,1.619,-2.18,4.76,-0.56,0.16,0.31,0.02,0.15,0,0,0,1,tran,2011
137.02,Hot,Jovian,gas,metals-rich,non-habitable,0.34,1.54,14.86,0.648,1.619,-2.09,7.06,-0.59,0.12,0.25,0.04,0.14,0,0,0,1,tran,2011
137.03,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.71,1.85,3.5,0.648,1.619,-2.24,0.24,-0.66,0.3,0.67,0.01,0.26,0,0,0,1,tran,2011
138.01,Hot,Jovian,gas,metals-rich,non-habitable,0.6,3.75,48.94,1.862,4.364,-2.25,18.81,0.91,0.05,0.08,0.03,0.05,0,0,0,0,tran,2011
139.01,Hot,Jovian,gas,metals-rich,non-habitable,0.77,2.38,224.8,0.917,2.235,-1.23,5.66,0.83,0.15,0.24,0.56,0.38,0,0,0,0,tran,2011
139.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.33,1.41,3.34,0.917,2.235,-2.32,-0.02,-0.98,0.28,0.8,0,0.28,0,0,0,0,tran,2011
141.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.82,2.11,2.62,0.626,1.562,-2.26,4.06,-0.55,0.18,0.31,0,0.14,0,0,0,0,tran,2011
142.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.87,1.89,10.92,0.713,1.762,-2.17,2.87,-0.43,0.22,0.39,0.02,0.19,0,0,0,1,tran,2011
144.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.03,1.77,4.18,0.453,1.157,-2.15,1.73,-0.58,0.26,0.5,0.01,0.22,0,0,0,0,tran,2011
148.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.7,4.78,0.55,1.389,-2.19,0.43,-0.65,0.3,0.66,0.01,0.26,0,0,0,1,tran,2011
148.02,Hot,Neptunian,gas,metals-rich,non-habitable,0.9,1.74,9.67,0.55,1.389,-2.11,2.22,-0.49,0.24,0.46,0.03,0.21,0,0,0,1,tran,2011
148.03,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.83,42.9,0.55,1.389,-1.76,0.74,-0.06,0.34,0.6,0.19,0.36,0,0,0,0,tran,2011
149.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.82,2.13,14.56,1.288,3.182,-2.23,4.13,-0.4,0.18,0.31,0.01,0.15,0,0,0,0,tran,2011
150.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.9,1.78,8.41,0.875,2.144,-2.25,2.33,-0.63,0.23,0.44,0.01,0.2,0,0,0,0,tran,2011
150.02,Hot,Neptunian,gas,metals-rich,non-habitable,0.89,1.82,28.57,0.875,2.144,-2.09,2.52,-0.35,0.23,0.43,0.05,0.21,0,0,0,0,tran,2011
151.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.81,2.2,13.45,0.941,2.262,-2.25,4.55,-0.27,0.16,0.29,0.02,0.14,0,0,0,0,tran,2011
152.01,Hot,Jovian,gas,metals-rich,non-habitable,1.27,2.96,52.09,0.99,2.369,-2.02,4.55,0.7,0.17,0.25,0.09,0.17,0,0,0,1,tran,2011
152.02,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.3,2.13,27.4,0.99,2.369,-2.16,1.84,-0.15,0.26,0.44,0.04,0.21,0,0,0,1,tran,2011
152.03,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.46,2.19,13.48,0.99,2.369,-2.27,1.54,-0.29,0.27,0.47,0.01,0.21,0,0,0,1,tran,2011
152.04,Hot,Jovian,gas,metals-rich,non-habitable,0.71,2.77,81.07,0.99,2.369,-1.87,8.46,0.72,0.1,0.17,0.15,0.16,0,0,0,1,tran,2011
153.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.87,8.93,0.359,0.927,-2,0.85,-0.28,0.31,0.58,0.05,0.27,0,0,0,0,tran,2011
153.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.73,4.75,0.359,0.927,-2.09,0.48,-0.53,0.31,0.65,0.02,0.27,0,0,0,0,tran,2011
155.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.89,1.83,5.66,0.959,2.361,-2.28,2.55,-0.7,0.22,0.42,0,0.19,0,0,0,0,tran,2011
156.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,1.27,1.31,8.04,0.205,0.548,-1.82,-0.11,-0.6,0.34,0.85,0.12,0.37,0,0,0,0,tran,2011
156.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,1.15,1.17,5.19,0.205,0.548,-1.92,-0.22,-0.8,0.32,0.92,0.07,0.34,0,0,0,0,tran,2011
156.03,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.66,11.78,0.205,0.548,-1.71,0.38,-0.21,0.36,0.68,0.19,0.38,0,0,0,0,tran,2011
157.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.35,2.07,13.02,0.773,1.906,-2.17,1.51,-0.3,0.27,0.48,0.02,0.22,0,0,0,1,tran,2011
157.02,Hot,Neptunian,gas,metals-rich,non-habitable,0.52,1.33,22.69,0.773,1.906,-2.09,3.17,-0.72,0.21,0.45,0.05,0.22,0,0,0,1,tran,2011
157.03,Hot,Neptunian,gas,metals-rich,non-habitable,0.41,1.36,32,0.773,1.906,-2.02,4.6,-0.64,0.16,0.36,0.07,0.2,0,0,0,1,tran,2011
157.04,Hot,Neptunian,gas,metals-rich,non-habitable,0.34,0.94,46.69,0.773,1.906,-1.92,3.12,-0.93,0.21,0.55,0.11,0.3,0,0,0,1,tran,2011
157.05,Hot,Neptunian,gas,metals-rich,non-habitable,0.89,1.81,118.38,0.773,1.906,-1.54,2.49,0.07,0.25,0.43,0.35,0.39,0,0,0,1,tran,2011
157.06,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.1,1.48,10.3,0.773,1.906,-2.2,0.68,-0.75,0.29,0.67,0.02,0.27,0,0,0,1,tran,2011
159.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.21,1.84,8.99,0.974,2.361,-2.28,1.33,-0.6,0.27,0.53,0.01,0.22,0,0,0,0,tran,2011
159.02,Hot,Superterran,rocky-iron,no-atmosphere,non-habitable,1.25,1.29,2.4,0.974,2.361,-2.35,-0.13,-1.09,0.28,0.86,0,0.29,0,0,0,0,tran,2011
161.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.32,1.88,3.11,0.448,1.146,-2.17,1.12,-0.57,0.28,0.54,0.01,0.23,0,0,0,0,tran,2011
162.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.41,1.89,14.01,0.729,1.787,-2.17,0.92,-0.39,0.3,0.56,0.03,0.25,0,0,0,0,tran,2011
165.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.27,1.86,13.22,0.51,1.285,-2.05,1.23,-0.32,0.29,0.53,0.05,0.25,0,0,0,0,tran,2011
166.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.88,12.49,0.603,1.507,-2.12,0.88,-0.38,0.3,0.57,0.03,0.25,0,0,0,0,tran,2011
167.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.87,4.92,1.048,2.502,-2.36,0.84,-0.71,0.28,0.58,0,0.24,0,0,0,0,tran,2011
168.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.92,1.73,10.74,1.563,3.778,-2.32,2.09,-0.75,0.24,0.47,0,0.2,0,0,0,1,tran,2011
168.02,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.2,1.84,15.27,1.563,3.778,-2.3,1.35,-0.62,0.27,0.52,0.01,0.22,0,0,0,0,tran,2011
168.03,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.65,7.11,1.563,3.778,-2.34,0.33,-0.86,0.28,0.69,0,0.26,0,0,0,1,tran,2011
171.01,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.27,1.86,5.97,1.061,2.53,-2.35,1.23,-0.68,0.27,0.53,0,0.22,0,0,0,0,tran,2011
171.02,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.75,13.07,1.061,2.53,-2.29,0.52,-0.6,0.29,0.64,0.01,0.26,0,0,0,0,tran,2011
172.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.78,13.72,0.698,1.705,-2.16,0.61,-0.46,0.3,0.62,0.03,0.26,0,0,0,0,tran,2011
172.02,Warm,Superterran,rocky-water,metals-rich,thermoplanet,1.35,1.44,242.47,0.698,1.705,-0.87,0.02,-0.07,0.53,0.79,0.8,0.79,0,1,0,0,tran,2011
173.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.88,10.06,0.866,2.134,-2.22,0.86,-0.52,0.29,0.57,0.01,0.24,0,0,0,0,tran,2011
174.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.67,56.35,0.333,0.858,-1.31,0.36,0.04,0.42,0.68,0.52,0.59,0,0,0,0,tran,2011
176.01,Hot,Neptunian,rocky-water,metals-rich,non-habitable,1.41,1.91,30.23,1.11,2.641,-2.18,0.98,-0.33,0.29,0.56,0.04,0.25,0,0,0,0,tran,2011
177.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.62,21.06,0.791,1.943,-2.11,0.27,-0.53,0.31,0.7,0.04,0.29,0,0,0,0,tran,2011
179.01,Hot,Neptunian,gas,metals-rich,non-habitable,0.89,1.82,20.74,0.854,2.07,-2.16,2.52,-0.41,0.23,0.43,0.03,0.2,0,0,0,0,tran,2011
179.02,Warm,Neptunian,gas,metals-rich,non-habitable,0.84,2.05,572.4,0.854,2.07,-0.15,3.69,0.86,0.21,0.33,0.83,0.51,0,0,0,0,tran,2011
180.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.41,1.89,10.05,0.67,1.652,-2.18,0.91,-0.43,0.29,0.57,0.02,0.24,0,0,0,0,tran,2011
183.01,Hot,Jovian,gas,metals-rich,non-habitable,0.69,2.92,2.68,0.741,1.803,-2.32,9.75,-0.16,0.09,0.15,0,0.07,0,0,0,0,tran,2011
186.01,Hot,Jovian,gas,metals-rich,non-habitable,0.69,2.91,3.24,0.798,1.934,-2.33,9.66,-0.14,0.09,0.15,0,0.07,0,0,0,0,tran,2011
187.01,Hot,Jovian,gas,metals-rich,non-habitable,0.67,3.08,30.88,0.729,1.776,-2.02,11.19,0.76,0.08,0.13,0.08,0.1,0,0,0,0,tran,2011
